Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Expense Type,Expense Area
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Coventry University,GPROSTD319464,"2,999,989.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Coventry University,GPROSTD321831,"163,569.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Coventry University,GPROSTD322968,"237,690.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Coventry University,GPROSTD331267,"293,330.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Cranfield University,GPROSTD319482,"752,540.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Cranfield University,GPROSTD321840,"1,064,924.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Cranfield University,GPROSTD322980,"237,690.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Craven College,GPROSTD319473,"33,576.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Croydon College,GPROSTD319500,"162,733.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Dearne Valley Coll,GPROSTD319518,"25,905.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,De Montfort Uni,GPROSTD319527,"2,827,800.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,De Montfort Uni,GPROSTD321867,"380,981.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,De Montfort Uni,GPROSTD322992,"85,446.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,De Montfort Uni,GPROSTD331272,"346,074.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Dept for Education,PIG6855,"103,468.00",TCIF Round 2,Finance
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Doncaster College,GPROSTD319554,"161,660.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Doncaster College,GPROSTD331411,"102,821.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Dudley Coll of Tech,GPROSTD319563,"36,828.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Ealing Ham  & W Lond,GPROSTD319581,"25,319.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,East Riding College,GPROSTD319626,"33,811.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Edge Hill University,GPROSTD319635,"1,537,848.00",Teaching 12-13,E&P policy team
