Department,Entity,Payment date,Supplier,TransactionNo,Amount,Expense Type,Expense Area
BIS,HEFCE,09/01/2015,Knight Frank LLP,PIS4349,"94,413.60",Premises costs,ROBO
BIS,HEFCE,09/01/2015,Knight Frank LLP,PIS4350,"69,982.50",Premises costs,ROBO
BIS,HEFCE,15/01/2015,Accrington,GPROSTD355251,"25,244.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Anglia Ruskin Uni,GPROSTD355269,"1,201,511.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Anglia Ruskin Uni,GPROSTD358293,"126,469.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Anglia Ruskin Uni,GPROSTD361470,"129,720.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Anglia Ruskin Uni,GPROSTD362361,"43,240.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Anglia Ruskin Uni,GPROSTD366822,"212,696.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Arts Uni Bournemouth,GPROSTD355278,"160,515.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Askham Bryan College,GPROSTD355296,"78,382.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Aston University,GPROSTD346835,"234,079.00",PSS,E&P policy team
BIS,HEFCE,15/01/2015,Aston University,GPROSTD355305,"977,427.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Aston University,GPROSTD358311,"633,122.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Aston University,GPROSTD361479,"126,767.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Aston University,GPROSTD362370,"42,256.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Aston University,GPROSTD366825,"36,671.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Barking and Dagenham,GPROSTD355323,"44,720.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Barnsley College,GPROSTD355350,"53,759.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Bath Spa University,GPROSTD355368,"310,795.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Bath Spa University,GPROSTD358320,"59,355.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Bath Spa University,GPROSTD366827,"28,389.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Bedford College,GPROSTD355386,"57,218.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Birkbeck College,GPROSTD256471,"142,857.00",SDF Capital (T),RIS policy team
BIS,HEFCE,15/01/2015,Birkbeck College,GPROSTD355440,"1,016,696.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Birkbeck College,GPROSTD358338,"1,077,399.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Birkbeck College,GPROSTD361497,"48,060.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Birkbeck College,GPROSTD363284,"53,824.00",Catalyst Fund  (R),RIS policy team
BIS,HEFCE,15/01/2015,Birkbeck College,GPROSTD366830,"248,314.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Birmingham City Univ,GPROSTD355773,"1,184,059.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Birmingham City Univ,GPROSTD358455,"191,609.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Birmingham City Univ,GPROSTD361605,"97,013.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Birmingham City Univ,GPROSTD362496,"32,338.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Birmingham City Univ,GPROSTD366852,"81,393.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Birmingham Met Coll,GPROSTD355467,"58,430.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Bishop Burton,GPROSTD355485,"110,381.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Bishop Gros Uni,GPROSTD355476,"68,401.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Blackburn College,GPROSTD355503,"212,029.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Blackburn College,GPROSTD366835,"25,054.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Blackpool College,GPROSTD355512,"270,451.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Blackpool College,GPROSTD366836,"26,640.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Bournemouth & Poole,GPROSTD355557,"43,543.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Bournemouth Uni,GPROSTD355548,"1,130,452.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Bournemouth Uni,GPROSTD358374,"216,595.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Bournemouth Uni,GPROSTD361524,"48,094.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Bournemouth Uni,GPROSTD366839,"48,193.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Bradford College,GPROSTD355575,"218,070.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Bridgwater College,GPROSTD355593,"27,949.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Brunel University,GPROSTD346841,"249,450.00",PSS,E&P policy team
BIS,HEFCE,15/01/2015,Brunel University,GPROSTD355656,"1,072,967.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Brunel University,GPROSTD358410,"1,226,044.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Brunel University,GPROSTD361560,"84,335.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Brunel University,GPROSTD362451,"28,112.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Bucks New University,GPROSTD355665,"424,188.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Bucks New University,GPROSTD358419,"25,927.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Bucks New University,GPROSTD361569,"56,748.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Burnley College,GPROSTD355674,"28,619.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Canterbury CCUC,GPROSTD355728,"497,881.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Canterbury CCUC,GPROSTD358437,"94,233.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Canterbury CCUC,GPROSTD361587,"65,878.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Canterbury CCUC,GPROSTD366850,"171,162.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Canterbury College,GPROSTD355746,"30,586.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Cardiff University,PIG14400,"30,739.50",REF,REF
BIS,HEFCE,15/01/2015,Central College Nott,GPROSTD357681,"34,396.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Chesterfield College,GPROSTD355818,"40,582.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,City College Norwich,GPROSTD357222,"65,600.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,City Liverpool Col,GPROSTD355908,"25,660.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,City of Bristol Coll,GPROSTD355917,"67,826.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,City of Westminster,GPROSTD355863,"48,342.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,CitySprint UK Ltd,PIG14410,"26,312.87",REF,REF
BIS,HEFCE,15/01/2015,Cleveland College,GPROSTD355935,"53,296.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Colchester Institute,GPROSTD355944,"26,296.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Conservatoire D&D,GPROSTD355953,"634,028.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Conservatoire D&D,GPROSTD361650,"28,125.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Cornwall College,GPROSTD355962,"77,798.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Courtauld Institute,GPROSTD355971,"51,423.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Courtauld Institute,GPROSTD358509,"122,238.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Courtauld Institute,GPROSTD363889,"80,417.00","Museums, Gal & Coll",RIS policy team
BIS,HEFCE,15/01/2015,Coventry University,GPROSTD347160,"187,107.00",Catalyst Fund  (R),RIS policy team
BIS,HEFCE,15/01/2015,Coventry University,GPROSTD355980,"1,634,303.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Coventry University,GPROSTD358518,"212,997.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Coventry University,GPROSTD361659,"213,750.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Coventry University,GPROSTD362550,"71,250.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Coventry University,GPROSTD366863,"86,468.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Cranfield University,GPROSTD346883,"333,333.00",PSS,E&P policy team
BIS,HEFCE,15/01/2015,Cranfield University,GPROSTD355998,"739,690.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Cranfield University,GPROSTD358527,"1,184,523.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Cranfield University,GPROSTD361668,"213,750.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Cranfield University,GPROSTD362559,"71,250.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Cranfield University,GPROSTD366791,"1,000,000.00",Revolving Green Fund,RIS policy team
BIS,HEFCE,15/01/2015,Craven College,GPROSTD355989,"35,236.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Croydon College,GPROSTD356016,"27,780.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,De Montfort Uni,GPROSTD356043,"1,305,902.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,De Montfort Uni,GPROSTD358554,"471,906.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,De Montfort Uni,GPROSTD361677,"76,840.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,De Montfort Uni,GPROSTD362568,"25,613.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,De Montfort Uni,GPROSTD366868,"76,074.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Derbyshire LEA,GPROSTD366784,"42,901.59",Inherited Staff,Finance
BIS,HEFCE,15/01/2015,Doncaster College,GPROSTD356070,"73,880.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Dudley College,GPROSTD356079,"28,318.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,East Riding,GPROSTD366789,"42,318.97",Inherited Staff,Finance
BIS,HEFCE,15/01/2015,Edge Hill University,GPROSTD356160,"544,054.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Edge Hill University,GPROSTD358599,"28,010.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Edge Hill University,GPROSTD366876,"66,727.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,EPSRC,PIC703,"88,027.00",PD - research,"R,,E & KE"
BIS,HEFCE,15/01/2015,Falmouth Uni,GPROSTD356214,"393,049.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Falmouth Uni,GPROSTD358635,"49,399.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Falmouth Uni,GPROSTD366879,"136,631.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Farnborough College,GPROSTD356232,"46,709.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Gateshead College,GPROSTD356250,"37,617.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Gloucestershire Coll,GPROSTD356268,"41,786.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Goldsmiths' College,GPROSTD356277,"489,047.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Goldsmiths' College,GPROSTD358653,"848,757.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Grimsby Institute,GPROSTD356304,"171,418.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Guildhall Sch M & D,GPROSTD356322,"104,475.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Guildhall Sch M & D,GPROSTD358671,"26,348.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Harper Adams Uni,GPROSTD356376,"736,820.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Harper Adams Uni,GPROSTD358680,"40,827.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Hartpury College,GPROSTD356385,"91,941.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Havering College,GPROSTD356412,"99,727.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,HE Academy,GPROSTD364077,"825,000.00",HE Academy,E&P policy team
BIS,HEFCE,15/01/2015,Heart of Wor College,GPROSTD363353,"107,812.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,HEFCW,PIG14392,"414,925.00",UKRPIF,Finance
BIS,HEFCE,15/01/2015,Hull College,GPROSTD356520,"123,042.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Imperial College,GPROSTD309138,"30,214.00",SDF Recurrent,RIS policy team
BIS,HEFCE,15/01/2015,Imperial College,GPROSTD309168,"30,214.00",SDF Recurrent,RIS policy team
BIS,HEFCE,15/01/2015,Imperial College,GPROSTD326460,"29,405.00",SDF Recurrent,RIS policy team
BIS,HEFCE,15/01/2015,Imperial College,GPROSTD356547,"3,541,716.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Imperial College,GPROSTD358725,"10,896,559.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Imperial College,GPROSTD361821,"213,750.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Imperial College,GPROSTD362712,"71,250.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Inst Cancer Research,GPROSTD265832,"30,214.00",SDF Recurrent,RIS policy team
BIS,HEFCE,15/01/2015,Inst Cancer Research,GPROSTD355737,"73,932.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Inst Cancer Research,GPROSTD358446,"1,823,766.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Inst Cancer Research,GPROSTD361596,"52,734.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Inst of Education,GPROSTD346817,"83,333.00",PSS,E&P policy team
BIS,HEFCE,15/01/2015,Inst of Education,GPROSTD356169,"212,478.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Inst of Education,GPROSTD358608,"861,379.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Inst of Education,GPROSTD361722,"76,577.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Inst of Education,GPROSTD362613,"25,526.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,JISC,GPROSTD363330,"2,558,333.00",JISC,JISC NAH
BIS,HEFCE,15/01/2015,JISC,GPROSTD364132,"1,400,010.00",JISC Capital (T),RIS policy team
BIS,HEFCE,15/01/2015,JISC,GPROSTD364138,"933,340.00",JISC Capital (R),JISC NAH
BIS,HEFCE,15/01/2015,King's College,GPROSTD305084,"30,214.00",SDF Recurrent,RIS policy team
BIS,HEFCE,15/01/2015,King's College,GPROSTD346877,"86,171.00",PSS,E&P policy team
BIS,HEFCE,15/01/2015,King's College,GPROSTD356601,"4,375,622.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,King's College,GPROSTD358752,"6,395,523.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,King's College,GPROSTD361848,"213,750.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,King's College,GPROSTD362739,"71,250.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Kingston College,GPROSTD356592,"38,415.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Kingston University,GPROSTD346871,"309,985.00",PSS,E&P policy team
BIS,HEFCE,15/01/2015,Kingston University,GPROSTD356610,"1,917,528.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Kingston University,GPROSTD358761,"330,741.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Kingston University,GPROSTD361857,"68,329.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Kingston University,GPROSTD366904,"167,796.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Kirklees College,GPROSTD356646,"36,071.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,KPMG Llp,PIG14395,"66,800.40",Costing & Pricing,Finance
BIS,HEFCE,15/01/2015,Lakes College,GPROSTD356664,"42,473.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Leader Foundation HE,GPROSTD364102,"75,000.00",Leaders Foundation,LGM
BIS,HEFCE,15/01/2015,Leeds Bec University,GPROSTD356718,"1,207,356.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Leeds Bec University,GPROSTD358788,"186,273.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Leeds Bec University,GPROSTD361884,"112,590.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Leeds Bec University,GPROSTD362775,"37,530.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Leeds Bec University,GPROSTD366911,"98,639.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Leeds City College,GPROSTD356727,"131,327.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Leeds College of Art,GPROSTD356700,"66,063.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Leeds Trinity Uni,GPROSTD358005,"113,800.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Leicester College,GPROSTD356736,"47,646.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Lincoln College,GPROSTD356772,"46,380.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Liverpool Hope Uni,GPROSTD356790,"274,320.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Liverpool Hope Uni,GPROSTD358824,"34,372.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Liverpool Hope Uni,GPROSTD361920,"51,366.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Liverpool Hope Uni,GPROSTD366918,"33,632.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Liverpool Inst PA,GPROSTD356808,"117,624.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Liverpool John Moore,GPROSTD356781,"1,486,214.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Liverpool John Moore,GPROSTD358815,"381,744.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Liverpool John Moore,GPROSTD361911,"145,608.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Liverpool John Moore,GPROSTD362802,"48,536.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Liverpool John Moore,GPROSTD366917,"117,131.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,London Bus School,GPROSTD358860,"398,057.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,London Bus School,GPROSTD361947,"213,750.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,London Bus School,GPROSTD362838,"71,250.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,London Met Uni,GPROSTD356862,"1,494,248.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,London Met Uni,GPROSTD358887,"268,577.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,London Met Uni,GPROSTD361965,"116,045.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,London Met Uni,GPROSTD362856,"38,682.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,London Met Uni,GPROSTD366740,"150,000.00",Revolving Green Fund,RIS policy team
BIS,HEFCE,15/01/2015,London Met Uni,GPROSTD366923,"31,067.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,London Sch Economics,GPROSTD356844,"186,054.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,London Sch Economics,GPROSTD358869,"1,823,846.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,London Sch Economics,GPROSTD361956,"126,563.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,London Sch Economics,GPROSTD362847,"42,188.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,London Sch Hygiene,GPROSTD356853,"328,522.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,London Sch Hygiene,GPROSTD358878,"1,971,351.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,London South Bank,GPROSTD356871,"1,393,498.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,London South Bank,GPROSTD358896,"215,117.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,London South Bank,GPROSTD361974,"60,564.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Loughborough College,GPROSTD356889,"62,022.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Loughborough Uni,GPROSTD343135,"104,250.00",Catalyst Fund  (R),RIS policy team
BIS,HEFCE,15/01/2015,Loughborough Uni,GPROSTD356898,"1,391,620.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Loughborough Uni,GPROSTD358914,"2,296,168.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Loughborough Uni,GPROSTD361992,"122,683.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Loughborough Uni,GPROSTD362883,"40,894.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Loughborough Uni,GPROSTD366750,"490,000.00",Catalyst Fund C (R),RIS policy team
BIS,HEFCE,15/01/2015,Loughborough Uni,GPROSTD366753,"735,000.00",Catalyst Fund C (T),RIS policy team
BIS,HEFCE,15/01/2015,Loughborough Uni,GPROSTD366927,"34,098.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,LSTM,GPROSTD358842,"623,510.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Macclesfield College,GPROSTD356916,"91,154.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Manchester College,GPROSTD356943,"129,894.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Manchester Met,GPROSTD356925,"1,799,404.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Manchester Met,GPROSTD358932,"570,511.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Manchester Met,GPROSTD362010,"103,683.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Manchester Met,GPROSTD362901,"34,561.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Manchester Met,GPROSTD366930,"282,394.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Middlesex University,GPROSTD356952,"1,150,939.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Middlesex University,GPROSTD358950,"288,505.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Middlesex University,GPROSTD362028,"42,188.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Middlesex University,GPROSTD366933,"31,548.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Mid-Kent College,GPROSTD356961,"54,260.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Moulton College,GPROSTD356979,"60,536.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,National Film & TV,GPROSTD357078,"36,370.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,NCG,GPROSTD357015,"291,917.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,NCUB,GPROSTD333840,"50,000.00",Policy Ongoing Serv,Central
BIS,HEFCE,15/01/2015,New College Durham,GPROSTD357006,"81,585.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,New College Notts,GPROSTD357024,"69,571.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Newham College,GPROSTD357033,"42,324.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Newman Uni,GPROSTD357042,"113,980.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Northbrook College,GPROSTD357096,"99,116.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,North East Surrey,GPROSTD357123,"54,196.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,North Lindsey Coll,GPROSTD357105,"100,758.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Norwich Uni Arts,GPROSTD357150,"151,587.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Nottingham Trent Uni,GPROSTD346853,"242,833.00",PSS,E&P policy team
BIS,HEFCE,15/01/2015,Nottingham Trent Uni,GPROSTD357231,"1,507,042.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Nottingham Trent Uni,GPROSTD359004,"374,433.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Nottingham Trent Uni,GPROSTD362064,"63,497.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Nottingham Trent Uni,GPROSTD366719,"43,862.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Nottingham Trent Uni,GPROSTD366947,"112,546.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,NUS,GPROSTD333775,"211,250.00",Catalyst Fund,RIS policy team
BIS,HEFCE,15/01/2015,N Warwick & Hinckley,GPROSTD357186,"36,839.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Open University,GPROSTD357267,"7,417,841.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Open University,GPROSTD359022,"1,067,057.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Open University,GPROSTD362082,"71,250.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Open University,GPROSTD365088,"30,801.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Open University,GPROSTD366950,"346,657.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Oxford Brookes Univ,GPROSTD357294,"886,035.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Oxford Brookes Univ,GPROSTD359049,"378,008.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Oxford Brookes Univ,GPROSTD362109,"122,825.00",HEIF 2011-15 (BIS),RIS policy team
