Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction no,Amount
BIS,HEFCE,14/01/2013,SDF Recurrent,RIS policy team,Lancaster University,GPROSTD314800,"32,955.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Lancaster University,GPROSTD320080,"1,889,448.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Lancaster University,GPROSTD322078,"1,912,072.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Lancaster University,GPROSTD323236,"184,310.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Lancaster University,GPROSTD325762,"30,470.00"
BIS,HEFCE,14/01/2013,Leaders Foundation,LGM,Leader Foundation HE,GPROSTD326391,"75,000.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Leeds City College,GPROSTD320125,"434,813.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Leeds College of Art,GPROSTD320098,"306,035.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Leeds LEA,GPROSTD314538,"69,807.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Leeds Met University,GPROSTD320116,"4,203,244.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Leeds Met University,GPROSTD322096,"187,889.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Leeds Met University,GPROSTD323260,"125,050.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Leeds Met University,GPROSTD325774,"129,898.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Leeds Trinity Uni,GPROSTD321331,"376,178.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Leicester College,GPROSTD320134,"79,502.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Leics LEA,GPROSTD314539,"73,861.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Lincoln College,GPROSTD320170,"58,859.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Liverpool Com Colleg,GPROSTD319387,"111,779.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Liverpool Hope Uni,GPROSTD320188,"1,166,739.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Liverpool Hope Uni,GPROSTD322132,"31,774.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Liverpool Hope Uni,GPROSTD323308,"57,050.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Liverpool Hope Uni,GPROSTD325798,"64,359.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Liverpool Inst PA,GPROSTD320206,"249,451.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Liverpool John Moore,GPROSTD320179,"4,446,896.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Liverpool John Moore,GPROSTD322123,"386,934.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Liverpool John Moore,GPROSTD323296,"161,721.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Liverpool John Moore,GPROSTD325795,"143,483.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Liverpool LEA,GPROSTD314541,"87,576.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,London Bus School,GPROSTD322168,"386,246.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,London Bus School,GPROSTD323344,"237,405.00"
BIS,HEFCE,14/01/2013,SDF Recurrent,RIS policy team,London Met Uni,GPROSTD304995,"278,502.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,London Met Uni,GPROSTD314582,"83,350.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,London Met Uni,GPROSTD320260,"3,582,570.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,London Met Uni,GPROSTD322195,"301,016.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,London Met Uni,GPROSTD323368,"128,888.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,London Met Uni,GPROSTD325822,"175,417.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,London PFA,GPROSTD314542,"47,504.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,London Sch Economics,GPROSTD320242,"633,670.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,London Sch Economics,GPROSTD322177,"1,803,147.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,London Sch Economics,GPROSTD323356,"140,569.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,London Sch Hygiene,GPROSTD320251,"377,803.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,London Sch Hygiene,GPROSTD322186,"1,951,685.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,London South Bank,GPROSTD320269,"2,990,060.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,London South Bank,GPROSTD322204,"212,263.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,London South Bank,GPROSTD323380,"67,266.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,London South Bank,GPROSTD325825,"159,056.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Loughborough College,GPROSTD320287,"196,933.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Loughborough Uni,GPROSTD320296,"3,099,923.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Loughborough Uni,GPROSTD322222,"2,282,300.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Loughborough Uni,GPROSTD323404,"136,260.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Loughborough Uni,GPROSTD325834,"38,373.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Macclesfield College,GPROSTD320314,"172,328.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Manchester College,GPROSTD320341,"313,791.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Manchester Cty Couni,GPROSTD314543,"115,039.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Manchester Met,GPROSTD320323,"5,529,481.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Manchester Met,GPROSTD322240,"566,033.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Manchester Met,GPROSTD323428,"115,158.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Manchester Met,GPROSTD325843,"199,435.00"
BIS,HEFCE,14/01/2013,SDF Capital LAT,RIS policy team,Manchester Met,GPROSTD326861,"248,400.00"
BIS,HEFCE,14/01/2013,SDF Capital LAT,RIS policy team,Manchester Met,GPROSTD326862,"1,625,900.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Middlesex University,GPROSTD320350,"3,673,391.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Middlesex University,GPROSTD322258,"287,868.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Middlesex University,GPROSTD323452,"46,856.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Middlesex University,GPROSTD325852,"140,360.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Moulton College,GPROSTD320377,"87,129.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Newcastle College,GPROSTD320413,"858,177.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Newcastle College,GPROSTD325873,"32,453.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Newcastle LEA,GPROSTD314545,"37,449.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,New College Durham,GPROSTD320404,"279,438.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,New College Notts,GPROSTD320422,"139,976.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,New College Stamford,GPROSTD321133,"31,592.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Newham College,GPROSTD320431,"28,572.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Newman Uni College,GPROSTD320440,"412,590.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Newman Uni College,GPROSTD325882,"30,056.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Northbrook College,GPROSTD320476,"223,055.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,North East Surrey,GPROSTD320503,"116,942.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,North East Worcs Col,GPROSTD320494,"70,039.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,North Lindsey Coll,GPROSTD320485,"193,753.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Northumberland Coll,GPROSTD320539,"44,892.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,North West London,GPROSTD320575,"46,747.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Norwich Uni Arts,GPROSTD320521,"471,386.00"
