Department,Entity,Payment date,Expense Type,Expense Area,Supplier,TransactionNo,Amount
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,Uni of Lincoln,GPROSTD374665,"60,947.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Liverpool,GPROSTD356807,"3,117,421.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Liverpool,GPROSTD358841,"2,773,629.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Liverpool,GPROSTD361937,"213,750.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Liverpool,GPROSTD362828,"71,250.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Liverpool,GPROSTD372057,"234,984.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of London,GPROSTD356834,"817,612.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Manchester,GPROSTD356942,"3,608,025.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Manchester,GPROSTD358949,"7,471,989.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Manchester,GPROSTD362027,"213,750.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Manchester,GPROSTD362918,"71,250.00"
BIS,HEFCE,16/07/2015,"Museums, Gal & Coll",RIS policy team,Uni of Manchester,GPROSTD364022,"172,500.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Manchester,GPROSTD372117,"579,300.00"
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,Uni of Manchester,GPROSTD374741,"132,122.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Newcastle,GPROSTD357059,"2,612,003.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Newcastle,GPROSTD358976,"3,140,266.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Newcastle,GPROSTD362045,"213,750.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Newcastle,GPROSTD362936,"71,250.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Northampton,GPROSTD357149,"535,373.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Northampton,GPROSTD358985,"53,961.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Northampton,GPROSTD362054,"89,415.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Northampton,GPROSTD362945,"29,805.00"
BIS,HEFCE,16/07/2015,Catalyst Fund  (R),RIS policy team,Uni of Northumbria,GPROSTD354497,"83,024.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Northumbria,GPROSTD357185,"1,253,415.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Northumbria,GPROSTD359003,"282,916.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Northumbria,GPROSTD362063,"93,818.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Northumbria,GPROSTD362954,"31,273.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Northumbria,GPROSTD372225,"218,160.00"
BIS,HEFCE,16/07/2015,SDF Recurrent,RIS policy team,Uni of Nottingham,GPROSTD309289,"25,000.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Nottingham,GPROSTD357248,"3,078,111.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Nottingham,GPROSTD359021,"4,416,178.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Nottingham,GPROSTD362081,"213,750.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Nottingham,GPROSTD362972,"71,250.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Nottingham,GPROSTD372253,"106,115.00"
BIS,HEFCE,16/07/2015,Revolving Green Fund,RIS policy team,Uni of Nottingham,GPROSTD375390,"400,000.00"
BIS,HEFCE,16/07/2015,Revolving Green Fund,RIS policy team,Uni of Nottingham,GPROSTD375402,"140,000.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Plymouth,GPROSTD357365,"2,601,367.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Plymouth,GPROSTD359066,"575,902.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Plymouth,GPROSTD362126,"112,849.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Plymouth,GPROSTD363017,"37,616.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Portsmouth,GPROSTD357383,"1,399,329.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Portsmouth,GPROSTD359075,"429,053.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Portsmouth,GPROSTD362135,"57,983.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Portsmouth,GPROSTD372309,"85,782.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Reading,GPROSTD357419,"636,558.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Reading,GPROSTD359093,"1,528,882.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Reading,GPROSTD362153,"162,837.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Reading,GPROSTD363044,"54,278.00"
BIS,HEFCE,16/07/2015,"Museums, Gal & Coll",RIS policy team,Uni of Reading,GPROSTD364026,"25,000.00"
BIS,HEFCE,16/07/2015,Catalyst Fund,RIS policy team,Uni of Reading,GPROSTD367260,"271,970.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Reading,GPROSTD372325,"46,016.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Salford,GPROSTD357590,"1,405,070.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Salford,GPROSTD359183,"609,441.00"
