Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Type,Expenditure Type,
HMRC,HMRC,11/11/2015,Dept forms Stock,PT Director,WILLIAMS LEA LTD,5100063268,"£44,151.02",Williams Lea is HMRC's Print Vendor Partner,WF6 1TN,,,,,
HMRC,HMRC,11/11/2015,Dept forms Stock,PT Director,WILLIAMS LEA LTD,5100063270,"£73,344.96",Williams Lea is HMRC's Print Vendor Partner,WF6 1TN,,,,,
HMRC,HMRC,11/11/2015,Min AW non-struc VAT,Information Management Services,MAPELEY STEPS CONTRACTOR LTD,5100063387,"£39,887.44",Estates work for the Cyber Security Command Centre,WD17 1HN,,,,,
HMRC,HMRC,11/11/2015,Min AW non-struc VAT,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100063388,"£26,989.72",Essential works carried out at Weardale House Washington,WD17 1HN,,,,,
HMRC,HMRC,11/11/2015,STEPS FUP,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100063397,"£16,247.42",Monthly charge for fully serviced accommodation across the UK under the Mapeley STEPS Private Finance Initiative contract,WD17 1HN,,,,,
HMRC,HMRC,11/11/2015,STEPS FUP,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100063397,"£34,525.79",Monthly charge for fully serviced accommodation across the UK under the Mapeley STEPS Private Finance Initiative contract,WD17 1HN,,,,,
HMRC,HMRC,11/11/2015,Oth PFI unitary chrg,Estates & Support Services,NEWCASTLE ESTATE PARTNERSHIP,5100063422,"£1,875,690.10",Charges for accommodation provided under the Newcastle Private Finance Initiative contract,BS1 4DJ,,,,,
HMRC,HMRC,11/11/2015,Oth PFI unitary chrg,Estates & Support Services,NEWCASTLE ESTATE PARTNERSHIP,5100063422,"£1,952,248.87",Charges for accommodation provided under the Newcastle Private Finance Initiative contract,BS1 4DJ,,,,,
HMRC,HMRC,12/11/2015,Training Costs,HMRC,CAPITA BUSINESS SERVICES LTD,1900311417,"£181,203.33",Employee Training,DL1 9HN,,,,,
HMRC,HMRC,12/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100062806,£258.49,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,12/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100062806,"£4,984.66",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,12/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100062806,"£22,415.82",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,12/11/2015,Forensic Services,Criminal Investigations,CCL FORENSICS LTD,5100063484,"£60,652.68",Forensic Services,CV37 6NW,,,,,
HMRC,HMRC,12/11/2015,Legal Service Sol's,Solicitors Office,TSOL,5100063500,"£94,442.06",Costs incurred by Government Legal Department for HMRC Employment legal cases.,WC2B 4TS,,,,,
HMRC,HMRC,12/11/2015,Non-IMS IT for CSR,Civil Service Resourcing,WORLD CAREERS NETWORK PLC,5100063538,"£28,350.00",Approved Fees of Sprint 18 covering the IT enhancement work currently undertaken by WCN,SW19 8DR,,,,,
HMRC,HMRC,13/11/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100063576,£595.56,Charges for accommodation provided under the G4S Private Finance Initiative contract in Glasgow,S81 7QF,,,,,
HMRC,HMRC,13/11/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100063576,"£29,182.14",Charges for accommodation provided under the G4S Private Finance Initiative contract in Glasgow,S81 7QF,,,,,
HMRC,HMRC,13/11/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100063577,"£1,331.82",Charges for accommodation provided under the G4S Private Finance Initiative contract in Edinburgh,S81 7QF,,,,,
HMRC,HMRC,13/11/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100063577,"£25,304.48",Charges for accommodation provided under the G4S Private Finance Initiative contract in Edinburgh,S81 7QF,,,,,
HMRC,HMRC,13/11/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100063579,"£3,143.40",This invoice is a monthly charge for facilities management at Trinity Bridge under the G4S Facilities Management Contract.,S81 7QF,,,,,
HMRC,HMRC,13/11/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100063579,"£75,441.70",This invoice is a monthly charge for facilities management at Trinity Bridge under the G4S Facilities Management Contract.,S81 7QF,,,,,
HMRC,HMRC,13/11/2015,Research (VAT rec),PT Customer Product & Process,IPSOS MORI UK LTD,5100063589,"£28,667.52",IR 35 Qualitative Research,SE1 1PY,,,,,
HMRC,HMRC,13/11/2015,Proprietry sys maint,Information Management Services,DWP,5100063594,"£85,332.25",Government Gateway - variable charges for PIN Activation (May 15),CF14 3UW,,,,,
HMRC,HMRC,13/11/2015,Debt coll serv (DEL),Debt Management & Banking,ADVANTIS CREDIT LTD,5100063647,"£35,561.95",Debt Collection Services,ST4 7RY,,,,,
HMRC,HMRC,13/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100063654,"£96,075.38",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,13/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100063655,"£118,931.69",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,13/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100063658,£608.92,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,13/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100063658,"£36,938.40",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,16/11/2015,STEPS FUP VAT recvbl,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,1700020924,"-£83,490.48",Credit rec'd from HMRC's PFI service provider.,WD17 1HN,,,,,
HMRC,HMRC,16/11/2015,STEPS FUP VAT recvbl,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,1700020924,"-£1,221.52",Credit rec'd from HMRC's PFI service provider.,WD17 1HN,,,,,
