Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Type,Expenditure Type,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Change Assurance and Investment,TNT UK LTD,5100063053,£466.86,Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Finance & Internal Audit,TNT UK LTD,5100063053,£509.30,Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,S&ID,TNT UK LTD,5100063053,£721.51,Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,BT Change,TNT UK LTD,5100063053,£933.71,Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Commercial Directorate,TNT UK LTD,5100063053,£976.16,Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Corporate Communications,TNT UK LTD,5100063053,"£1,230.82",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Business Customer & Strategy,TNT UK LTD,5100063053,"£1,400.58",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Civil Service Resourcing,TNT UK LTD,5100063053,"£1,782.55",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Customs Directorate,TNT UK LTD,5100063053,"£1,952.33",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,CTISA,TNT UK LTD,5100063053,"£2,079.65",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,E&C Central Services,TNT UK LTD,5100063053,"£2,164.54",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Indirect Tax Directorate,TNT UK LTD,5100063053,"£2,291.86",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Information Management Services,TNT UK LTD,5100063053,"£2,461.62",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Solicitors Office,TNT UK LTD,5100063053,"£2,631.40",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Finance & Internal Audit,TNT UK LTD,5100063053,"£3,098.26",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,PT Customer Product & Process,TNT UK LTD,5100063053,"£3,480.23",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Estates & Support Services,TNT UK LTD,5100063053,"£4,498.82",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Counter Avoidance Directorate,TNT UK LTD,5100063053,"£7,002.90",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,HR,TNT UK LTD,5100063053,"£7,087.78",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Information Management Services,TNT UK LTD,5100063053,"£7,299.98",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Business Tax Operations,TNT UK LTD,5100063053,"£8,827.90",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Tax Professionalism & Assurance,TNT UK LTD,5100063053,"£8,870.34",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Specialist Investigations (SI),TNT UK LTD,5100063053,"£10,865.10",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Specialist PT,TNT UK LTD,5100063053,"£11,586.61",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Large Business Service,TNT UK LTD,5100063053,"£14,302.88",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Criminal Investigations,TNT UK LTD,5100063053,"£16,170.32",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Risk & Intelligence,TNT UK LTD,5100063053,"£20,032.52",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Benefits & Credits Delivery,TNT UK LTD,5100063053,"£39,683.05",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Debt Management & Banking,TNT UK LTD,5100063053,"£48,510.96",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,Local Compliance,TNT UK LTD,5100063053,"£88,194.04",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,PT Operations,TNT UK LTD,5100063053,"£102,454.48",Courier Services,BL10 9AR,,,,,
HMRC,HMRC,11/11/2015,STEPS FUP VAT recvbl,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,1700019600,"-£69,191.96",Credit rec'd from HMRC's PFI service provider.,WD17 1HN,,,,,
HMRC,HMRC,11/11/2015,STEPS FUP VAT recvbl,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,1700019600,-£927.56,Credit rec'd from HMRC's PFI service provider.,WD17 1HN,,,,,
HMRC,HMRC,11/11/2015,STEPS FUP,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100062766,"£54,927.04",Monthly charge for fully serviced accommodation across the UK under the Mapeley STEPS Private Finance Initiative contract,WD17 1HN,,,,,
HMRC,HMRC,11/11/2015,STEPS FUP,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100062766,"£116,719.96",Monthly charge for fully serviced accommodation across the UK under the Mapeley STEPS Private Finance Initiative contract,WD17 1HN,,,,,
HMRC,HMRC,11/11/2015,Debt coll serv (DEL),Debt Management & Banking,AKINIKA HOLDINGS (UK) LIMITED,5100063074,"£33,517.09",Debt Collection Services,PR1 3EL,,,,,
HMRC,HMRC,11/11/2015,Debt coll serv (DEL),Debt Management & Banking,COMMERCIAL COLLECTION SERVICES,5100063080,"£66,666.05",Debt Collection Services,CR7 6YY,,,,,
HMRC,HMRC,11/11/2015,Crown Sol's Off NI,Debt Management & Banking,CROWN SOLICITORS OFFICE,5100063089,"£59,973.60",High Court costs,BT1 3JY,,,,,
HMRC,HMRC,11/11/2015,Debt coll serv (DEL),Debt Management & Banking,APEX CREDIT MANAGEMENT LTD,5100063092,"£32,929.07",Debt Collection Services,CV37 6NW,,,,,
HMRC,HMRC,11/11/2015,Nat Pst Del Ser(VAT),PT Director,UK MAIL,5100063155,"£62,096.34",These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director.,SL1 4LZ,,,,,
HMRC,HMRC,11/11/2015,Fst Strm Traing Cost,Civil Service Resourcing,CAPITA BUSINESS SERVICES LTD,5100063164,"£39,796.04",Commercial Fast Stream Induction event,DL1 9HN,,,,,
HMRC,HMRC,11/11/2015,Recruitment services,Civil Service Resourcing,SPECIALIST COMPUTER CTR,5100063214,"£29,246.48",Specialist Computer Centre (SCC) is the main IT contractor for the Civil Service Fast Stream intake. Invoice covers Fast Stream reimbursables for October 2015.,B11 2LE,,,,,
HMRC,HMRC,11/11/2015,Non-IMS IT for CSR,Civil Service Resourcing,WORLD CAREERS NETWORK PLC,5100063215,"£56,016.00",Monthly E Recruitment Service Charge for Full Solution and Advert Only Fees for October 2015.,SW19 8DR,,,,,
HMRC,HMRC,11/11/15,Fst Strm Traing Cost,Civil Service Resourcing,CAPITA BUSINESS SERVICES LTD,5100063217,"£39,796.04",Commercial Fast Stream Induction event,DL1 9HN,,,,,
HMRC,HMRC,11/11/2015,Dept forms Stock,PT Director,WILLIAMS LEA LTD,5100063263,"£37,811.45",Williams Lea is HMRC's Print Vendor Partner,WF6 1TN,,,,,
