DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Harper Adams Uni|GPROSTD376301|79,764.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Harper Adams Uni|GPROSTD380033|899,549.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Hartpury College|GPROSTD369663|28,430.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Hartpury College|GPROSTD380042|112,421.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Havering College|GPROSTD380069|91,158.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Heart of Wor College|GPROSTD369727|28,206.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Heart of Wor College|GPROSTD380789|193,327.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Henley College Cov|GPROSTD380078|30,562.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Hertfordshire CC|GPROSTD367403|81,618.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Heythrop College|GPROSTD376319|44,589.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Heythrop College|GPROSTD380123|25,008.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Holy Cross College|GPROSTD380141|30,594.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Hounslow LEA|GPROSTD367404|32,323.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Hugh Baird College|GPROSTD380168|32,801.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Hull College|GPROSTD369675|26,789.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Hull College|GPROSTD380177|145,213.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Imperial College|GPROSTD369677|152,044.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Imperial College|GPROSTD370890|4,464,109.33
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Imperial College|GPROSTD376346|14,118,575.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Imperial College|GPROSTD377352|320,625.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|Imperial College|GPROSTD378252|106,874.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Imperial College|GPROSTD380204|4,624,669.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|Imperial College|GPROSTD382014|500,000.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Inst Cancer Research|GPROSTD370861|532,544.33
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Inst Cancer Research|GPROSTD376076|2,222,603.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Inst Cancer Research|GPROSTD377145|118,654.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|Inst Cancer Research|GPROSTD378045|39,550.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Inst Cancer Research|GPROSTD379394|113,056.00
BIS|HEFCE|17/08/2015|Provision of Info|E&P policy team|Ipsos UK Ltd|PIG14623|67,296.60
BIS|HEFCE|17/08/2015|JISC|JISC NAH|JISC|GPROSTD382072|1,750,000.00
BIS|HEFCE|17/08/2015|JISC Capital (R)|JISC NAH|JISC|GPROSTD382085|844,444.00
BIS|HEFCE|17/08/2015|JISC Capital (T)|RIS policy team|JISC|GPROSTD382094|1,266,667.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Kent LEA|GPROSTD367405|38,463.00
BIS|HEFCE|17/08/2015|SDF Recurrent|RIS policy team|King's College|GPROSTD309269|31,045.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|King's College|GPROSTD369681|205,636.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|King's College|GPROSTD370893|2,245,365.33
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|King's College|GPROSTD375568|562,500.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|King's College|GPROSTD376373|9,801,041.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|King's College|GPROSTD377379|320,625.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|King's College|GPROSTD378279|106,874.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|King's College|GPROSTD380258|6,196,232.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|King's College|GPROSTD382015|500,000.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|King's College|GPROSTD382233|1,365,000.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Kingston College|GPROSTD380249|54,507.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Kingston LEA|GPROSTD367406|49,179.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Kingston University|GPROSTD369682|162,697.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Kingston University|GPROSTD370894|60,739.67
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Kingston University|GPROSTD375569|475,000.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Kingston University|GPROSTD376382|459,068.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Kingston University|GPROSTD377388|78,768.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|Kingston University|GPROSTD378288|26,255.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Kingston University|GPROSTD380267|2,525,823.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Kingston University|GPROSTD382234|550,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Kingston University|GPROSTD382797|183,796.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Kirklees College|GPROSTD380303|57,675.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Kirklees Council|GPROSTD367407|97,601.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Lakes College|GPROSTD380321|68,510.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Lancashire LEA|GPROSTD367408|155,896.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Leeds Bec University|GPROSTD369689|153,368.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Leeds Bec University|GPROSTD370897|33,971.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Leeds Bec University|GPROSTD376409|325,399.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Leeds Bec University|GPROSTD377415|218,469.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|Leeds Bec University|GPROSTD378315|72,822.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Leeds Bec University|GPROSTD380375|1,443,834.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Leeds Bec University|GPROSTD382237|450,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Leeds Bec University|GPROSTD382804|98,639.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Leeds City College|GPROSTD369690|35,805.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Leeds City College|GPROSTD380384|167,352.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Leeds City College|GPROSTD382238|25,000.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Leeds Coll Building|GPROSTD380348|36,943.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Leeds College of Art|GPROSTD380357|115,813.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Leeds LEA|GPROSTD367409|213,077.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Leeds Trinity Uni|GPROSTD369797|25,491.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Leeds Trinity Uni|GPROSTD381689|161,591.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Leicester College|GPROSTD380393|70,587.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Leics LEA|GPROSTD367410|221,276.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Lincoln College|GPROSTD380429|59,351.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Liverpool Hope Uni|GPROSTD369696|43,117.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Liverpool Hope Uni|GPROSTD376445|138,890.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Liverpool Hope Uni|GPROSTD377451|40,264.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Liverpool Hope Uni|GPROSTD380447|329,986.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Liverpool Hope Uni|GPROSTD382242|125,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Liverpool Hope Uni|GPROSTD382811|33,632.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Liverpool Inst PA|GPROSTD380465|177,199.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Liverpool John Moore|GPROSTD369695|172,642.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Liverpool John Moore|GPROSTD370900|116,054.33
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Liverpool John Moore|GPROSTD375572|1,250,000.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Liverpool John Moore|GPROSTD376436|789,347.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Liverpool John Moore|GPROSTD377442|188,493.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|Liverpool John Moore|GPROSTD378342|62,830.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Liverpool John Moore|GPROSTD380438|1,898,143.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Liverpool John Moore|GPROSTD382241|695,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Liverpool John Moore|GPROSTD382810|117,131.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Liverpool LEA|GPROSTD367412|257,569.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|London Bus School|GPROSTD370906|42,297.67
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|London Bus School|GPROSTD376490|469,957.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|London Bus School|GPROSTD377487|320,625.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|London Bus School|GPROSTD378387|106,874.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|London Bus School|GPROSTD382028|338,616.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|London Bus School|GPROSTD382246|35,000.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|London Bus School|GPROSTD382666|283,887.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|London Met Uni|GPROSTD367453|264,867.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|London Met Uni|GPROSTD369704|99,542.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|London Met Uni|GPROSTD376517|199,519.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|London Met Uni|GPROSTD377514|100,479.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|London Met Uni|GPROSTD378414|33,492.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|London Met Uni|GPROSTD380519|1,547,355.00
BIS|HEFCE|17/08/2015|Teaching 12-13|E&P policy team|London Met Uni|GPROSTD382180|1,280,600.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|London Met Uni|GPROSTD382249|420,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|London Met Uni|GPROSTD382816|31,067.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|London PFA|GPROSTD367413|143,993.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|London Sch Economics|GPROSTD369702|39,308.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|London Sch Economics|GPROSTD370907|365,242.33
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|London Sch Economics|GPROSTD376499|2,788,879.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|London Sch Economics|GPROSTD377496|284,767.00
BIS|HEFCE|17/08/2015|HEIF 2011-15|RIS policy team|London Sch Economics|GPROSTD378396|94,921.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|London Sch Economics|GPROSTD380501|278,940.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|London Sch Economics|GPROSTD382247|550,000.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|London Sch Hygiene|GPROSTD370908|532,884.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|London Sch Hygiene|GPROSTD376508|2,740,495.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|London Sch Hygiene|GPROSTD377505|84,253.00
