DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|EXPENSETYPE2|EXPENSEAREA
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Doncaster College|GPROSTD319556|161,660.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Doncaster College|GPROSTD331989|102,821.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Dudley Coll of Tech|GPROSTD319565|36,828.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Ealing Ham  & W Lond|GPROSTD319583|25,319.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|East Riding College|GPROSTD319628|33,811.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Edge Hill University|GPROSTD319637|1,537,848.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Falmouth Uni|GPROSTD319682|937,492.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Falmouth Uni|GPROSTD321950|37,936.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Farnborough College|GPROSTD319700|162,854.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Gateshead College|GPROSTD319718|83,962.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Gloucestershire Coll|GPROSTD319736|86,415.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Goldsmiths College|GPROSTD319745|919,338.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Goldsmiths College|GPROSTD321968|723,404.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Goldsmiths College|GPROSTD323114|27,618.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Goldsmiths College|GPROSTD331861|60,794.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Grimsby Institute|GPROSTD319763|357,945.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Grimsby Institute|GPROSTD332002|55,826.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Guildford College|GPROSTD319772|106,361.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Guildhall Sch M & D|GPROSTD311944|56,000.00|SDF Recurrent|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Guildhall Sch M & D|GPROSTD319781|156,109.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Guildhall Sch M & D|GPROSTD323138|25,468.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Harper Adams Uni|GPROSTD319835|1,023,616.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Harper Adams Uni|GPROSTD321995|25,186.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Harper Adams Uni|GPROSTD327684|209,286.00|Catalyst Fund C (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Harper Adams Uni|GPROSTD331864|47,491.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Hartpury College|GPROSTD319844|38,694.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Havering College|GPROSTD319862|244,746.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|HE Academy|GPROSTD326405|1,200,000.00|HE Academy|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Henley College|GPROSTD319871|41,189.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Hereford Coll of Art|GPROSTD319880|76,820.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Heythrop College|GPROSTD319907|79,607.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Highbury College|GPROSTD319916|41,157.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Hopwood Hall College|GPROSTD319934|33,581.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Hull College|GPROSTD319961|322,945.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Imperial College|GPROSTD285831|29,405.00|SDF Recurrent|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Imperial College|GPROSTD319979|4,074,993.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Imperial College|GPROSTD322040|8,827,639.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Imperial College|GPROSTD323186|237,690.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Imperial College|GPROSTD331869|92,953.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Inst Cancer Research|GPROSTD319223|58,091.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Inst Cancer Research|GPROSTD321761|1,479,289.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Inst Cancer Research|GPROSTD322886|58,641.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Inst of Education|GPROSTD319646|299,605.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Inst of Education|GPROSTD321923|697,052.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Inst of Education|GPROSTD323054|85,153.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|JISC|GPROSTD327669|1,928,106.00|JISC|JISC NAH
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Keele University|GPROSTD319988|1,515,706.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Keele University|GPROSTD322049|548,314.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Keele University|GPROSTD323198|62,330.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Keele University|GPROSTD331870|151,169.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|King's College|GPROSTD285821|29,405.00|SDF Recurrent|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|King's College|GPROSTD320033|5,196,398.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|King's College|GPROSTD322067|5,127,869.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|King's College|GPROSTD323222|237,690.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Kingston College|GPROSTD320024|36,511.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Kingston University|GPROSTD320042|3,993,544.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Kingston University|GPROSTD322076|272,713.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Kingston University|GPROSTD323234|75,982.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Kingston University|GPROSTD331873|108,825.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Kirklees College|GPROSTD320060|53,890.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Kirklees College|GPROSTD332019|31,243.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Lakes College|GPROSTD320078|77,328.00|Teaching 12-13|E&P policy team
