DEPARTMENT|ENTITY|PAYMENTDATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|AMOUNT|EXPENSETYPE2|EXPENSEAREA2
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Birkbeck College|GPROSTD322753|53,442.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Birmingham City Univ|GPROSTD319258|2,474,429.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Birmingham City Univ|GPROSTD321769|141,620.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Birmingham City Univ|GPROSTD322897|107,878.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Birmingham LEA|GPROSTD328551|172,968.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Birmingham Met Coll|GPROSTD318988|28,825.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Birmingham Met Coll|GPROSTD331668|67,362.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bishop Burton|GPROSTD319006|181,697.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bishop Burton|GPROSTD331669|53,669.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bishop Gros Uni|GPROSTD318997|245,628.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Blackburn College|GPROSTD319015|513,435.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Blackpool College|GPROSTD319024|539,413.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bolton LEA|GPROSTD328552|47,730.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bournemouth Uni|GPROSTD319060|2,280,497.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bournemouth Uni|GPROSTD321688|165,304.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bournemouth Uni|GPROSTD322789|53,480.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bournemouth Uni|GPROSTD331542|39,903.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bradford College|GPROSTD319078|423,618.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bradford College|GPROSTD331674|39,137.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bridgwater College|GPROSTD319096|37,156.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bromley LEA|GPROSTD328555|41,817.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Brooksby College|GPROSTD331680|29,089.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Brunel University|GPROSTD319159|2,139,800.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Brunel University|GPROSTD321724|1,005,722.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Brunel University|GPROSTD322837|93,781.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Brunel University|GPROSTD331546|67,231.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bucks County Council|GPROSTD333790|106,409.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bucks New University|GPROSTD319168|1,148,163.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Bucks New University|GPROSTD322849|63,103.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|BUFVC|GPROSTD332443|97,500.00|JISC|JISC NAH
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Calderdale College|GPROSTD319186|41,047.00|Teaching 12-13|E&P policy team
