DEPARTMENT|ENTITY|PAYMENTDATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|AMOUNT
BIS|HEFCE|14/06/2012|Inherited Staff|Finance|Sunderland LEA|GPROSTD313896|32,155.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Swindon College|GPROSTD297847|55,874.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Tameside College|GPROSTD297856|33,134.00
BIS|HEFCE|14/06/2012|JISC|JISC NAH|The National Library|GPROSTD314851|83,333.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Trafford College|GPROSTD297694|49,921.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Trinity Laban Cons M|GPROSTD297910|691,426.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Trinity Laban Cons M|GPROSTD303956|32,463.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Tyne Met College|GPROSTD297271|42,325.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|UC Plymouth Mark/Joh|GPROSTD297775|402,777.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|UC Plymouth Mark/Joh|GPROSTD301219|70,004.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni Coll Birmingham|GPROSTD295948|807,098.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni Coll Birmingham|GPROSTD299392|194,595.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni College Falmouth|GPROSTD296533|1,137,700.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni College Falmouth|GPROSTD298459|43,780.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni College Falmouth|GPROSTD299977|122,771.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni College Falmouth|GPROSTD305268|30,459.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Uni College London|GPROSTD186994|28,563.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Uni College London|GPROSTD189585|28,564.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Uni College London|GPROSTD189795|28,564.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Uni College London|GPROSTD210418|28,563.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Uni College London|GPROSTD225068|28,562.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Uni College London|GPROSTD234981|28,618.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Uni College London|GPROSTD261990|28,618.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni College London|GPROSTD297055|5,741,449.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni College London|GPROSTD298747|10,096,855.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni College London|GPROSTD300499|99,900.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Uni College London|GPROSTD303524|237,518.00
BIS|HEFCE|14/06/2012|London Insts|Inst teams Lond East|Uni College London|GPROSTD308933|184,914.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Uni College London|GPROSTD310322|28,618.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni for Creative Art|GPROSTD296353|1,687,477.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni for Creative Art|GPROSTD298360|40,288.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni for Creative Art|GPROSTD299797|179,835.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of Arts London|GPROSTD296992|3,957,123.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni of Arts London|GPROSTD298675|585,951.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of Arts London|GPROSTD300436|398,898.00
BIS|HEFCE|14/06/2012|Moderation - T|E&P policy team|Uni of Arts London|GPROSTD301840|59,907.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Uni of Arts London|GPROSTD303464|209,985.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of Bedfordshire|GPROSTD297082|2,330,007.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni of Bedfordshire|GPROSTD298792|104,873.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of Bedfordshire|GPROSTD300526|360,355.00
BIS|HEFCE|14/06/2012|Moderation - T|E&P policy team|Uni of Bedfordshire|GPROSTD301858|62,249.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Uni of Bedfordshire|GPROSTD303548|40,341.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Uni of Birmingham|GPROSTD291165|28,618.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of Birmingham|GPROSTD295957|6,606,673.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni of Birmingham|GPROSTD298171|3,948,660.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of Birmingham|GPROSTD299401|195,392.00
BIS|HEFCE|14/06/2012|Moderation - T|E&P policy team|Uni of Birmingham|GPROSTD301588|31,030.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Uni of Birmingham|GPROSTD302900|237,518.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of Bradford|GPROSTD296047|2,421,622.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni of Bradford|GPROSTD298207|598,102.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of Bradford|GPROSTD299491|332,100.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Uni of Bradford|GPROSTD302936|90,315.00
BIS|HEFCE|14/06/2012|Moderation - T|E&P policy team|Uni of Bradford|GPROSTD308257|51,033.00
BIS|HEFCE|14/06/2012|SDF Capital LAT|RIS policy team|Uni of Bradford|GPROSTD309986|314,360.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of Brighton|GPROSTD296065|3,755,593.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni of Brighton|GPROSTD298216|562,977.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of Brighton|GPROSTD299509|328,926.00
BIS|HEFCE|14/06/2012|Moderation - T|E&P policy team|Uni of Brighton|GPROSTD301606|77,490.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Uni of Brighton|GPROSTD302948|86,123.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Uni of Bristol|GPROSTD227277|29,405.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of Bristol|GPROSTD296074|5,624,466.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni of Bristol|GPROSTD298225|4,526,899.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of Bristol|GPROSTD299518|100,825.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Uni of Bristol|GPROSTD302960|237,518.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Uni of Cambridge|GPROSTD188470|28,563.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Uni of Cambridge|GPROSTD265816|28,618.00
BIS|HEFCE|14/06/2012|Museums, Gal & Coll|RIS policy team|Uni of Cambridge|GPROSTD295786|163,000.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of Cambridge|GPROSTD296119|5,146,277.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni of Cambridge|GPROSTD298252|10,932,863.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of Cambridge|GPROSTD299563|67,358.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Uni of Cambridge|GPROSTD302996|237,518.00
BIS|HEFCE|14/06/2012|Open Educational Res|E&P policy team|Uni of Cambridge|GPROSTD311651|26,000.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of Central Lancs|GPROSTD296173|5,539,691.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni of Central Lancs|GPROSTD298288|327,009.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of Central Lancs|GPROSTD299617|758,843.00
BIS|HEFCE|14/06/2012|Moderation - T|E&P policy team|Uni of Central Lancs|GPROSTD301633|54,712.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Uni of Central Lancs|GPROSTD303044|188,491.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of Central Lancs|GPROSTD305208|130,342.00
BIS|HEFCE|14/06/2012|Moderation - T|E&P policy team|Uni of Central Lancs|GPROSTD308297|56,058.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of Chester|GPROSTD296200|2,098,025.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni of Chester|GPROSTD298306|66,513.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of Chester|GPROSTD299644|312,466.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Uni of Chester|GPROSTD303056|36,443.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of Chichester|GPROSTD296227|892,901.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni of Chichester|GPROSTD298315|30,178.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of Chichester|GPROSTD299671|117,536.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Uni of Chichester|GPROSTD304892|37,195.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of Cumbria|GPROSTD296371|1,324,748.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of Cumbria|GPROSTD299815|198,280.00
BIS|HEFCE|14/06/2012|Moderation - T|E&P policy team|Uni of Cumbria|GPROSTD301678|76,705.00
BIS|HEFCE|14/06/2012|Museums, Gal & Coll|RIS policy team|Uni of East Anglia|GPROSTD295738|25,000.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of East Anglia|GPROSTD295821|958,437.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of East Anglia|GPROSTD295831|197,328.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of East Anglia|GPROSTD296452|3,129,337.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni of East Anglia|GPROSTD298405|1,461,183.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of East Anglia|GPROSTD299896|212,632.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Uni of East Anglia|GPROSTD303152|147,225.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Uni of East London|GPROSTD296461|3,117,570.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Uni of East London|GPROSTD298414|227,494.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Uni of East London|GPROSTD299905|481,914.00
BIS|HEFCE|14/06/2012|Moderation - T|E&P policy team|Uni of East London|GPROSTD301705|82,808.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Uni of East London|GPROSTD303164|50,703.00
BIS|HEFCE|14/06/2012|SDF Capital LAT|RIS policy team|Uni of East London|GPROSTD309300|88,000.00
BIS|HEFCE|14/06/2012|SDF Capital LAT|RIS policy team|Uni of East London|GPROSTD309301|1,000,000.00
BIS|HEFCE|14/06/2012|JISC|JISC NAH|Uni of Glasgow|GPROSTD324380|30,230.00
