Department	Entity	Date	Expense Type	Expense Area	Supplier	Transaction Number	Amount	Expense Type 2	Expense Area 2	Description	Supplier Postcode	Period
BIS	HEFCE	02/10/2015	Rates	Facilities Managemen	City of London	PIS5405	43,945.00			
BIS	HEFCE	02/10/2015	Rates	Facilities Managemen	South Glos Council	PIS5406	92,437.50			
BIS	HEFCE	02/10/2015	Software maintenance	ROBO	JISC Services Ltd	PIS5343	27,162.54			
BIS	HEFCE	02/12/2015	Central	Audit fees	NAO	PIS5497	60,000.00			
BIS	HEFCE	03/04/2012	Contract staff	Regularity Partnersh	Deloitte	PIS1791	64,423.57			
BIS	HEFCE	03/04/2012	PD - research	R&E programme	Curtis & Cartwright	PIC420	27,927.36			
BIS	HEFCE	03/04/2012	PD - research	R&E programme	HESA	PIC423	38,462.40			
BIS	HEFCE	03/04/2012	PD - research	R&E programme	IFF Research	PIC415	151,245.60			
BIS	HEFCE	03/04/2012	PD - research	R&E programme	KPMG Llp	PIC425	27,300.00			
BIS	HEFCE	03/04/2012	PD - research	R&E programme	Uni of Cambridge	PIC426	25,500.00			
BIS	HEFCE	03/04/2012	Payroll control	Running costs	Cabinet Office PCSPS	PIS1757	158,909.55			
BIS	HEFCE	03/04/2012	Payroll control	Running costs	Give As You Earn	PIS1755	47,618.75			
BIS	HEFCE	03/04/2015	PD - research	Quality Assessment	HE Academy	PIC744	42,701.00			
BIS	HEFCE	03/04/2015	Phones - land lines	ROBO	Vodafone Ltd	PIS4818	113,713.51			
BIS	HEFCE	03/05/2013	PL Control - Run	Running costs	Cabinet Office PCSPS	PIS2699	183,854.69	Payroll control	Running costs	
BIS	HEFCE	03/05/2013	PL Control - Run	Running costs	Google Ireland Ltd	PIM206	26,000.00	Hardware purchase	ITS	
BIS	HEFCE	03/05/2013	PL Control - Run	Running costs	Internet Videocomms	PIS2706	96,656.40	Suspense account	Running costs	
BIS	HEFCE	03/06/2015	Hardware purchase	ITS	Sword Connect	PIS5099	26,000.00			
BIS	HEFCE	03/08/2013	Quality Assurance	E&P policy team	QAA	GPROSTD340592	280,000.00			
BIS	HEFCE	04/03/2016	Professional serv	Internal Governance	Ernst & Young LLP	PIS5920	41,611.50			
BIS	HEFCE	04/04/2012	Basic - T	E&P policy team	City Coll Manchester	GPROSTD203975	162,386.00			
BIS	HEFCE	04/04/2012	Basic - T	E&P policy team	City Coll Manchester	GPROSTD203976	162,387.00			
BIS	HEFCE	04/04/2012	Basic - T	E&P policy team	City Coll Manchester	GPROSTD203977	162,387.00			
BIS	HEFCE	04/04/2012	Basic - T	E&P policy team	City Coll Manchester	GPROSTD203978	162,386.00			
BIS	HEFCE	04/04/2012	Basic - T	E&P policy team	City Coll Manchester	GPROSTD203979	162,386.00			
BIS	HEFCE	04/04/2012	Basic - T	E&P policy team	City Coll Manchester	GPROSTD203980	162,386.00			
BIS	HEFCE	04/04/2012	Basic - T	E&P policy team	City Coll Manchester	GPROSTD203981	155,731.00			
BIS	HEFCE	04/04/2012	Basic - T	E&P policy team	City Coll Manchester	GPROSTD203982	155,731.00			
BIS	HEFCE	04/04/2012	Basic - T	E&P policy team	City Coll Manchester	GPROSTD203983	155,731.00			
BIS	HEFCE	04/04/2012	Basic - T	E&P policy team	City Coll Manchester	GPROSTD203984	155,731.00			
BIS	HEFCE	04/04/2012	Basic - WP	E&P policy team	City Coll Manchester	GPROSTD207695	30,660.00			
BIS	HEFCE	04/04/2012	Basic - WP	E&P policy team	City Coll Manchester	GPROSTD207696	30,660.00			
BIS	HEFCE	04/04/2012	Basic - WP	E&P policy team	City Coll Manchester	GPROSTD207697	30,660.00			
