Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,20/01/2016,Office Stationery,People Places & Serv Direct,Paypal,H57720160122ueabnfvow,119.85,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/01/2016,Office Stationery,People Places & Serv Direct,Seton,H57720160122cjahtcppc,17.88,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/01/2016,Office Stationery,People Places & Serv Direct,Applied Products(Wales,H57720160122jvkppilrd,210.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/01/2016,Office Stationery,People Places & Serv Direct,Tesco Direct,H57720160122koyvfxysh,144.95,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/01/2016,Office Stationery,People Places & Serv Direct,Tesco - Hughes,H57720160122mjgnywjev,365.94,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/01/2016,Office Stationery,People Places & Serv Direct,Paypal,H57720160122bzeugkmwq,-119.85,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/01/2016,Office Stationery,People Places & Serv Direct,Green Magic Co,H57720160122nkywulebe,39.54,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/01/2016,Office Stationery,People Places & Serv Direct,Ikea,H57720160120wrxdivmsg,32.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/01/2016,Office Stationery,People Places & Serv Direct,Boardsdirect.Co.Uk,H57720160119owlowhpww,48.59,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/01/2016,Office Stationery,People Places & Serv Direct,Www.Clockcards.Co.Uk,H57720160115jdlkcygyw,61.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/01/2016,Career Development Services,People Places & Serv Direct,Www.Buckingham.Ac.Uk,H57720160115wttxhxiwb,570.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2016,Career Development Services,People Places & Serv Direct,Media Training Ltd,H57720160130psguxpsmm,2248.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/01/2016,Purchase of Reprographic kit,People Places & Serv Direct,Amazon UK Retail,H57720160115pkcbwogjf,64.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/01/2016,Career Development Services,People Places & Serv Direct,Opp Ltd Sterling Vt,H57720160130noaiksxup,2985.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2016,Career Development Services,People Places & Serv Direct,Civil Service Learning,H57720160130lgwdjqtyp,1078.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/01/2016,Career Development Services,People Places & Serv Direct,Civil Service Learning,H57720160130wjhocvpeg,1078.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/01/2016,Other,People Places & Serv Direct,Amazon UK Marketplace,H57720160129bebtgjuif,13.98,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/01/2016,Other,People Places & Serv Direct,Tesco Direct,H57720160129wpbrvjwik,69.94,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/01/2016,Other,People Places & Serv Direct,Paypal,H57720160129covffhlqf,39.95,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/01/2016,Other,People Places & Serv Direct,Paypal,H57720160129kkkbkbjrk,2.92,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/01/2016,Other,People Places & Serv Direct,Paypal,H57720160129nrkrrjbpt,19.98,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/01/2016,Office Stationery,People Places & Serv Direct,Screwfix Direct,H57720160129yyfoeswsy,131.67,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/01/2016,Office Stationery,People Places & Serv Direct,Business Ind Solutions,H57720160127fgjzmrtvl,444.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/01/2016,Office Stationery,People Places & Serv Direct,Hso*ppo Gmbh,H57720160127nfvfwuofi,83.90,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/01/2016,Office Stationery,People Places & Serv Direct,Business Ind Solutions,H57720160127fuafbdeqj,3.96,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/01/2016,Office Stationery,People Places & Serv Direct,Business Ind Solutions,H57720160127gfcguywwl,670.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/01/2016,Office Stationery,People Places & Serv Direct,Nukey,H57720160127vqkgftxth,8.52,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/01/2016,Other,People Places & Serv Direct,Paypal,H57720160127vtxiisler,54.62,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/01/2016,Office Furniture,People Places & Serv Direct,Business Ind Solutions,H57720160127prpvwcftl,86.28,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/01/2016,Office Stationery,People Places & Serv Direct,Business Ind Solutions,H57720160127cbqartfeb,2.64,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/01/2016,Office Furniture,People Places & Serv Direct,Business Ind Solutions,H57720160127ifbwuwftp,480.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/01/2016,Office Furniture,People Places & Serv Direct,Business Ind Solutions,H57720160127nhfuezkos,582.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/01/2016,Office Stationery,People Places & Serv Direct,Seton,H57720160126xewqlglmz,1490.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/01/2016,Seminars and Confereces,People Places & Serv Direct,Sacat Marks & Spencer,H57720160126klpiuxqkq,9.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/01/2016,Seminars and Confereces,People Places & Serv Direct,Tesco-Stores 6459,H57720160126lxudybipc,7.17,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/01/2016,Office Stationery,People Places & Serv Direct,Nukey,H57720160126crougjkep,85.08,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/01/2016,Office Stationery,People Places & Serv Direct,Amazon UK Retail,H57720160123jiljwrjxk,44.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/01/2016,Office Stationery,People Places & Serv Direct,Screwfix Direct,H57720160123kbcvkkwex,52.22,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/01/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160123oscissgzo,16.97,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/01/2016,Office Stationery,People Places & Serv Direct,Ross Handling Ltd,H57720160121cmjelcrsh,28.31,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/01/2016,Office Stationery,People Places & Serv Direct,Value Products Ltd,H57720160121otkqzynbc,65.64,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/01/2016,Office Stationery,People Places & Serv Direct,Value Products Ltd,H57720160121rpcwdhpju,115.74,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/01/2016,Office Furniture,People Places & Serv Direct,Amazon UK Marketplace,H57720160120fdwudftkb,69.90,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/01/2016,Other,People Places & Serv Direct,Msp Webshops 247,H57720160120usuhcakil,55.35,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/01/2016,Office Stationery,People Places & Serv Direct,Tesco Store 3144,H57720160119jymdxdkij,4.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/01/2016,Career Development Services,People Places & Serv Direct,Paypal,H57720160119cjvivwnny,24.95,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/01/2016, 2 Minute Smile,People Places & Serv Direct,Tesco-Stores 6459,H57720160119anyqtfbfr,32.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/01/2016,Office Stationery,People Places & Serv Direct,Timpson Ltd,H57720160119kpmgnixqh,9.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/01/2016,Network and infrastructure H/W,People Places & Serv Direct,Microsoft,H57720160116dllhmjnop,958.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/01/2016,Other,People Places & Serv Direct,Ikea,H57720160116ljrdtnlsf,157.90,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/01/2016,Other,People Places & Serv Direct,Paypal,H57720160115ksdnendlv,19.96,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/01/2016,Eyecare,People Places & Serv Direct,Specsaversevougb-,H57720160114aqhnruhor,510.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/01/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160114naugolsbc,9.95,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/01/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160114pgbxhmfdy,19.95,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/01/2016,Office Stationery,People Places & Serv Direct,Amazon UK Marketplace,H57720160113qkrxiptty,1.96,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/01/2016,Seminars and Confereces,People Places & Serv Direct,Sparkol,H57720160113bwqslitmv,115.20,Not Applicable,
