Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,08/02/2012,Entertainment,Business Support Directorate,Personal expenses name witheld,50981.00 ,13.37,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2012,Entertainment,SABIP,Personal expenses name witheld,50954.00 ,15.59,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,Entertainment,Business Support Directorate,Personal expenses name witheld,50989.00 ,20.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,10/02/2012,Entertainment,Trade Marks Directorate,Personal expenses name witheld,50984.00 ,160.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,09/02/2012,Entertainment,Trade Marks Directorate,Personal expenses name witheld,50983.00 ,517.54,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,21/02/2012,Entertainment,SABIP,Competition Commission,101568.00 ,28.62,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/02/2012,Entertainment,Trade Marks Directorate,Earls Caterers Ltd,29755.00 ,79.40,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/02/2012,Non - IT Contractors,Copyright and IP Enforcement Directorate,Experian Ltd,IEX3001049862,210.24,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,Non - IT Contractors,Business Support Directorate,OutSec Ltd,1201105.00 ,339.12,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,09/02/2012,Non - IT Contractors,Business Support Directorate,Capita Resourcing Ltd,RA00109588,414.90,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,09/02/2012,Non - IT Contractors,Copyright and IP Enforcement Directorate,Burns Owens Partnership Ltd,05/1303,1800.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,22/02/2012,Non - IT Contractors,Patents Directorate,LRQA Limited,11009540,3838.27,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/02/2012,Non - IT Contractors,Chief Executive's Office,Capita Resourcing Ltd,WN4003640,5181.30,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,Non - IT Contractors,Chief Executive's Office,Capita Resourcing Ltd,WN4003831,5181.30,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,Non - IT Contractors,Chief Executive's Office,Capita Resourcing Ltd,WN4003482,6620.55,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,Int Co-operation,International Policy Directorate,University of Nottingham,7663996,542.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2012,Technolgy Stratergy Board Support,Innovation Directorate,Express by Holiday Inn Newport,2012000845,1320.00,Not known
