Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Staff Costs,People Places & Services Directorate,OE Cam LLP,1598,1199.89,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/07/2015,Staff Costs,People Places & Services Directorate,OE Cam LLP,1625,2125.97,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/07/2015,Staff Costs,People Places & Services Directorate,World Trade Group Limited,INV2617,1834.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/07/2015,Staff Costs,People Places & Services Directorate,TMS Development International Ltd,10029,8640.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/07/2015,Staff Costs,People Places & Services Directorate,"Face 2 Face Psychotherapy, Training and",2,800.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/07/2015,Travel & Subsistence,Innovation Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4021,126.36,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,DJ Grigg,JEMAC PACKAGING,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Supporting UK Business,Innovation Directorate,Harrison Goddard Foote,361666,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,Lincoln IP,4515,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,Lincoln IP,4545,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Supporting UK Business,Innovation Directorate,Lincoln IP,4607,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Supporting UK Business,Innovation Directorate,Marks & Clerk LLP,7060929,2996.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,Marks & Clerk LLP,7061882,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/07/2015,Miscellaneous Expenses General,Innovation Directorate,TNS UK LTD,260149681,33667.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/07/2015,Miscellaneous Expenses General,Innovation Directorate,SPA Future Thinking,16521,7242.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,LAWRIE INTELLECTUAL PROPERTY,106443,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,LAWRIE INTELLECTUAL PROPERTY,106444,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/07/2015,Supporting UK Business,Innovation Directorate,LAWRIE INTELLECTUAL PROPERTY,106521,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Supporting UK Business,Innovation Directorate,LAWRIE INTELLECTUAL PROPERTY,106523,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,LAWRIE INTELLECTUAL PROPERTY,106533,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Supporting UK Business,Innovation Directorate,LAWRIE INTELLECTUAL PROPERTY,106534,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/07/2015,Supporting UK Business,Innovation Directorate,LAWRIE INTELLECTUAL PROPERTY,106535,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/07/2015,Supporting UK Business,Innovation Directorate,LAWRIE INTELLECTUAL PROPERTY,106565,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/07/2015,Supporting UK Business,Innovation Directorate,LAWRIE INTELLECTUAL PROPERTY,106597,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Supporting UK Business,Innovation Directorate,LAWRIE INTELLECTUAL PROPERTY,106695,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,STEPHENS SCOWN LLP,43861,2520.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Supporting UK Business,Innovation Directorate,STEPHENS SCOWN LLP,44001,2520.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,CAMERON INTELLECTUAL PROPERTY LTD,1428/15,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/07/2015,Supporting UK Business,Innovation Directorate,CAMERON INTELLECTUAL PROPERTY LTD,1441/15,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,SHULMANS LLP,282053,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Marketing & Publicity,Innovation Directorate,DAN ANTHONY PRESENTATIONS LTD,109,800.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Marketing & Publicity,Innovation Directorate,DAN ANTHONY PRESENTATIONS LTD,110,650.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,Lean IP,INV2026,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,Lean IP,INV2027,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,Thorntons,878710,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,Metis Partners Ltd,739,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/07/2015,Supporting UK Business,Innovation Directorate,Metis Partners Ltd,741,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Supporting UK Business,Innovation Directorate,Metis Partners Ltd,759,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/07/2015,Supporting UK Business,Innovation Directorate,GLP LLP,PG/PG/M32847/1,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/07/2015,Marketing & Publicity,Innovation Directorate,Gov Today Ltd,S53314,1200.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,The Intellectual Property Shop Ltd,CG150605,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/07/2015,Supporting UK Business,Innovation Directorate,Coller IP Management Ltd,7381,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,Coller IP Management Ltd,7471,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/07/2015,Supporting UK Business,Innovation Directorate,Coller IP Management Ltd,7564,2600.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/07/2015,Supporting UK Business,Innovation Directorate,Nabarro LLP,1249018,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/07/2015,Supporting UK Business,Innovation Directorate,Murgitroyd & Company Ltd,13108/15,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/07/2015,Supporting UK Business,Innovation Directorate,Murgitroyd & Company Ltd,16715/15,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,Innovation Directorate,Bailey Walsh & Co,165465,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/07/2015,Supporting UK Business,Innovation Directorate,Cloch Solicitors,15/0059,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/07/2015,Supporting UK Business,Innovation Directorate,Blueprint Product Design Ltd,IN-201505-7-839,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Supporting UK Business,Innovation Directorate,K. W. Peter & Co,101314,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/07/2015,Supporting UK Business,Innovation Directorate,K. W. Peter & Co,101325,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Supporting UK Business,Innovation Directorate,Burness Paull LLP,141514213,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Supporting UK Business,Innovation Directorate,Ablett & Stebbing,250600,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/07/2015,Information Technology,Innovation Directorate,Bureau Van Dijk Electronic Publishing Lt,746/15GB,19779.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Supporting UK Business,Innovation Directorate,Locke Lord UK LLP,20077775,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Miscellaneous Expenses General,Innovation Directorate,Association of British Insurers,SI088601,5599.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/07/2015,Supporting UK Business,Innovation Directorate,Ancient Hume Ltd,3234,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,International Cooperation,FOREIGN & COMMONWEALTH OFFICE,1078456,1432.13,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,International Cooperation,FOREIGN & COMMONWEALTH OFFICE,1078610,12470.34,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Supporting UK Business,International Cooperation,FOREIGN & COMMONWEALTH OFFICE,1078882,24503.31,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Marketing & Publicity,International Cooperation,SPA Future Thinking,16648,26480.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Travel & Subsistence,International Policy Directorate,HRG UK,634845361,3163.42,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Travel & Subsistence,International Policy Directorate,HRG UK,634863241,2934.06,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Travel & Subsistence,International Policy Directorate,HRG UK,634900517,2394.26,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Travel & Subsistence,International Policy Directorate,HRG UK,634904037,2771.96,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/07/2015,Travel & Subsistence,International Policy Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4021,70.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/07/2015,Miscellaneous Expenses General,IT Directorate,British Standards Institution,94292095/1000,1333.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10050709,3166.61,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10053804,6333.22,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10053804,3166.61,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10056704,3123.10,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA333716,5199.24,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA336251,2599.62,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA338854,5234.38,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/07/2015,Travel & Subsistence,IT Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4021,7.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10049172,10783.58,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10049172,2757.68,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10049172,3117.92,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10049172,5296.58,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10049172,5779.86,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10049172,2473.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10050709,5279.35,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10050709,304.38,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10050709,2579.98,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10052514,8035.56,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10052514,13286.78,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10052514,8952.58,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10053804,6203.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10053804,21030.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10053804,5486.87,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10053804,8673.21,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10053804,3235.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10054436,3459.84,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10054436,5427.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10054436,22151.25,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10054436,16693.32,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10056704,8160.46,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10056704,2537.28,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10056704,2992.56,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10056704,8053.55,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/07/2015,Information Technology,IT Directorate,Capita Business Services  Ltd,LO10056704,2915.84,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/07/2015,Pay Costs,IT Directorate,Hays Specialist Recruitment,1005627754,7761.84,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA328927,2159.28,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA333712,2431.26,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA333713,2454.73,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA336248,2451.67,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA336250,2492.90,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA336252,2804.78,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA337059,2282.76,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA338073,2622.72,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA338075,5480.66,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA338076,2810.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA338850,5142.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA338851,2476.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA338853,2783.42,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA338855,2810.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Information Technology,IT Directorate,LA International Computer Consultants Lt,LA339117,2810.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/07/2015,Information Technology,IT Directorate,Drake AV Video Ltd,71193,4441.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/07/2015,Information Technology,IT Directorate,Insight Direct (UK) Ltd,2378433,1788.77,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/07/2015,Information Technology,IT Directorate,Speech Empowered Computing,276,672.30,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/07/2015,Information Technology,IT Directorate,Computacenter (UK) ltd,3880534920,14852.16,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/07/2015,Staff Costs,IT Directorate,GLOBAL KNOWLEDGE NETWORK TRAINING LTD,268242,1538.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Information Technology,IT Directorate,HORNBILL SERVICE MANAGEMENT LIMITED,INV11530,14603.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/07/2015,Information Technology,IT Directorate,Bytes Software Services Ltd,418915,791.10,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/07/2015,Staff Costs,IT Directorate,Redrock Consulting Ltd,4885,5731.38,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/07/2015,Staff Costs,IT Directorate,Redrock Consulting Ltd,4886,5731.38,Not Applicable,
