Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Travel & Subsistence,Copyright and Enforcement Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4203,214.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Travel & Subsistence,Copyright and Enforcement Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4203,7.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Travel & Subsistence,Innovation Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4203,85.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Travel & Subsistence,International Policy Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4203,76.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Travel & Subsistence,IT Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4203,15.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Travel & Subsistence,Finance Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4203,7.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Travel & Subsistence,Innovation Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4203,7.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Travel & Subsistence,Patents Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4203,15.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Travel & Subsistence,Patents Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4203,7.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Travel & Subsistence,Trade Marks Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4203,7.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Travel & Subsistence,International Policy Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4203,127.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Information Technology,IT Directorate,Gov Delivery,4600,2499.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/08/2015,Staff Costs,People Places & Services Directorate,Thomas Carroll Management Services Ltd,5124,660.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Miscellaneous Expenses General,People Places & Services Directorate,Thomas Carroll Management Services Ltd,5168,2142.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/08/2015,Accommodation,People Places & Services Directorate,Kemp Construction Ltd,6097,1454.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/08/2015,Accommodation,People Places & Services Directorate,Kemp Construction Ltd,6097,3506.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/08/2015,Accommodation,People Places & Services Directorate,Kemp Construction Ltd,6098,2314.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/08/2015,Accommodation,People Places & Services Directorate,Kemp Construction Ltd,6099,18089.93,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Staff Costs,IT Directorate,Agil8 Ltd,6335,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Information Technology,IT Directorate,Questmark Ltd,9283,198.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Information Technology,IT Directorate,Satisnet Ltd,10331,35232.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Staff Costs,People Places & Services Directorate,TMS Development International Ltd,10468,1812.55,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Information Technology,Innovation Directorate,Ghost Digital Ltd,10621,21504.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/08/2015,Marketing & Publicity,Innovation Directorate,Friends House (London) Hospitality Ltd,10895,1127.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/08/2015,Staff Costs,People Places & Services Directorate,TRANSMEDIA.CO.UK,12124,3852.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Accommodation,People Places & Services Directorate,Wastesavers Ltd,12629,125.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Accommodation,People Places & Services Directorate,Rushar Ltd,13875,888.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/08/2015,Accommodation,People Places & Services Directorate,Rushar Ltd,13934,888.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Accommodation,People Places & Services Directorate,Rushar Ltd,13939,8400.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Accommodation,People Places & Services Directorate,Quality Floorcare Ltd,15127,2160.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Accommodation,People Places & Services Directorate,Quality Floorcare Ltd,15165,1110.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/08/2015,Miscellaneous Expenses General,Copyright and Enforcement Directorate,Stratton Craig Ltd,21900,2250.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Information Technology,People Places & Services Directorate,HFX Ltd,25460,1824.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/08/2015,Miscellaneous Expenses General,Finance Directorate,FLUID BRANDING LTD,28567,156.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/08/2015,Miscellaneous Expenses General,International Policy Directorate,Pick Everard,31096,11044.58,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/08/2015,Miscellaneous Expenses General,International Policy Directorate,Pick Everard,31154,3364.73,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/08/2015,Miscellaneous Expenses General,People Places & Services Directorate,On Your Bike,33131,1363.36,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Office Supplies,Finance Directorate,Total Print Finishing Services Ltd,37548,81.72,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/08/2015,Office Supplies,Finance Directorate,Total Print Finishing Services Ltd,37610,510.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/08/2015,Accommodation,People Places & Services Directorate,Cedric John & Son,39671,1152.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/08/2015,Accommodation,People Places & Services Directorate,Cedric John & Son,39704,1920.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/08/2015,Accommodation,People Places & Services Directorate,Cedric John & Son,39751,1920.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/08/2015,Accommodation,People Places & Services Directorate,Cedric John & Son,39898,1920.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/08/2015,Supporting UK Business,Innovation Directorate,STEPHENS SCOWN LLP,45595,2599.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/08/2015,Staff Costs,People Places & Services Directorate,Personal expenses name witheld,53001,595.70,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Miscellaneous Expenses General,People Places & Services Directorate,Personal expenses name witheld,53002,205.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/08/2015,Miscellaneous Expenses General,International Policy Directorate,Personal expenses name witheld,53003,100.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/08/2015,Miscellaneous Expenses General,People Places & Services Directorate,Personal expenses name witheld,53004,20.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/08/2015,Staff Costs,People Places & Services Directorate,Personal expenses name witheld,53005,23.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/08/2015,Staff Costs,People Places & Services Directorate,Personal expenses name witheld,53006,148.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Miscellaneous Expenses General,Innovation Directorate,Personal expenses name witheld,53007,86.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Miscellaneous Expenses General,Innovation Directorate,Personal expenses name witheld,53008,131.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Miscellaneous Expenses General,Innovation Directorate,Personal expenses name witheld,53009,92.25,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Miscellaneous Expenses General,Innovation Directorate,Personal expenses name witheld,53010,133.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Miscellaneous Expenses General,Innovation Directorate,Personal expenses name witheld,53011,194.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Miscellaneous Expenses General,Innovation Directorate,Personal expenses name witheld,53012,4.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Miscellaneous Expenses General,Innovation Directorate,Personal expenses name witheld,53013,39.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Miscellaneous Expenses General,Innovation Directorate,Personal expenses name witheld,53014,19.90,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Miscellaneous Expenses General,Innovation Directorate,Personal expenses name witheld,53015,88.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/08/2015,Miscellaneous Expenses General,Innovation Directorate,Personal expenses name witheld,53017,37.96,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/08/2015,Miscellaneous Expenses General,People Places & Services Directorate,Personal expenses name witheld,53019,35.01,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Miscellaneous Expenses General,Innovation Directorate,Personal expenses name witheld,53020,19.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Information Technology,International Policy Directorate,Personal expenses name witheld,53021,206.95,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Miscellaneous Expenses General,International Policy Directorate,Personal expenses name witheld,53022,5.98,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/08/2015,Miscellaneous Expenses General,People Places & Services Directorate,Personal expenses name witheld,53024,20.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Accommodation,People Places & Services Directorate,Senator International Ltd,60715,398.96,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/08/2015,Marketing & Publicity,Innovation Directorate,SHOWLITE LIMITED,64319,130.58,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/08/2015,Marketing & Publicity,Innovation Directorate,SHOWLITE LIMITED,64320,134.72,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/08/2015,Staff Costs,People Places & Services Directorate,GovNet Communications,87883,5400.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Legal & Hearings,Patents Directorate,Marten Walsh Cherer Ltd,88885,2752.86,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Legal & Hearings,Patents Directorate,Marten Walsh Cherer Ltd,89361,1217.52,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Legal & Hearings,Trade Marks Directorate,Marten Walsh Cherer Ltd,89456,1731.77,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/08/2015,Legal & Hearings,Patents Directorate,Marten Walsh Cherer Ltd,89606,1119.12,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Legal & Hearings,Trade Marks Directorate,Marten Walsh Cherer Ltd,89651,3161.68,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Miscellaneous Expenses General,Innovation Directorate,Reputation Institute,90216,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Supporting UK Business,Innovation Directorate,K. W. Peter & Co,101332,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/08/2015,Supporting UK Business,Innovation Directorate,K. W. Peter & Co,101337,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Supporting UK Business,Innovation Directorate,LAWRIE INTELLECTUAL PROPERTY,106439,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/08/2015,Supporting UK Business,Innovation Directorate,LAWRIE INTELLECTUAL PROPERTY,106553,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/08/2015,Supporting UK Business,Innovation Directorate,LAWRIE INTELLECTUAL PROPERTY,106598,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Accommodation,People Places & Services Directorate,Thomas Waste Management Ltd,136221,306.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,International Payments,Copyright and Enforcement Directorate,British Copyright Council,150701,12000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Supporting UK Business,Innovation Directorate,Alistair Hindle Associates,150747,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/08/2015,Supporting UK Business,Innovation Directorate,JCP Solicitors,164517,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Office Supplies,People Places & Services Directorate,Menzies Distribution Ltd t/a Jones Yarre,198235,266.58,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Marketing & Publicity,Innovation Directorate,Advanstar Communications UK Ltd,200443,1200.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Information Technology,IT Directorate,Fujitsu Services Ltd,209227,69367.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Information Technology,IT Directorate,Fujitsu Services Ltd,209228,22263.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Office Supplies,People Places & Services Directorate,Menzies Distribution Ltd t/a Jones Yarre,209479,283.23,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/08/2015,Supporting UK Business,Innovation Directorate,Stevens Hewlett &  Perkins,278255,2600.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Staff Costs,Patents Directorate,Durham University,283572,660.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Office Machinery,Finance Directorate,Midshire Business Systems (Northern) Ltd,298084,1134.58,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Legal & Hearings,Patents Directorate,Government Legal Department,419460,2352.18,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Staff Costs,People Places & Services Directorate,P&MM Ltd,502828,6434.47,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/08/2015,Accommodation,People Places & Services Directorate,EDF ENERGY,650982,29084.05,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/08/2015,Accommodation,People Places & Services Directorate,EDF ENERGY,674674,1435.90,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Office Supplies,Finance Directorate,Antalis,877884,-125.54,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Office Supplies,Finance Directorate,Antalis,883474,-251.09,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Office Supplies,Finance Directorate,Antalis,887371,-12.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Office Supplies,Finance Directorate,Antalis,887372,-12.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Office Supplies,Finance Directorate,Antalis,887490,-624.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Office Supplies,Finance Directorate,Antalis,887491,-624.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Office Supplies,Finance Directorate,Antalis,887492,-624.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Staff Costs,People Places & Services Directorate,P&MM Ltd,1022216,8047.51,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/08/2015,Supporting UK Business,International Policy Directorate,FOREIGN & COMMONWEALTH OFFICE,1077960,-9710.24,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Supporting UK Business,International Policy Directorate,FOREIGN & COMMONWEALTH OFFICE,1079062,2210.37,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Supporting UK Business,International Policy Directorate,FOREIGN & COMMONWEALTH OFFICE,1079220,5371.55,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Supporting UK Business,International Policy Directorate,FOREIGN & COMMONWEALTH OFFICE,1079655,998.69,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Supporting UK Business,International Policy Directorate,FOREIGN & COMMONWEALTH OFFICE,1079825,26076.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Supporting UK Business,International Policy Directorate,FOREIGN & COMMONWEALTH OFFICE,1079997,368.12,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Supporting UK Business,International Policy Directorate,FOREIGN & COMMONWEALTH OFFICE,1080187,1481.47,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/08/2015,Supporting UK Business,International Policy Directorate,FOREIGN & COMMONWEALTH OFFICE,1080349,63000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Supporting UK Business,International Policy Directorate,FOREIGN & COMMONWEALTH OFFICE,1080583,1076.47,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/08/2015,Agency Staff,International Policy Directorate,Home  Office,1125815,2736.09,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/08/2015,Miscellaneous Expenses General,Trade Marks Directorate,Home  Office,1125894,1463.18,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/08/2015,Staff Costs,Patents Directorate,Cardiff University,1128491,304.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Office Supplies,People Places & Services Directorate,Desso Ltd,1233985,529.92,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/08/2015,Postage & Delivery Costs,People Places & Services Directorate,CitySprint (UK) Ltd,1406885,3099.53,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Postage & Delivery Costs,People Places & Services Directorate,CitySprint (UK) Ltd,1426498,48.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/08/2015,Accommodation,People Places & Services Directorate,Days Rental,1557341,252.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Staff Costs,People Places & Services Directorate,Whitehall & Industry Group,2150205,3360.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/08/2015,Miscellaneous Expenses General,Innovation Directorate,Whitehall & Industry Group,2150285,780.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/08/2015,Miscellaneous Expenses General,Innovation Directorate,Whitehall & Industry Group,2150287,780.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/08/2015,Miscellaneous Expenses General,People Places & Services Directorate,Performing Right Society LTD,4590730,117.91,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Office Supplies,Finance Directorate,Antalis,4922185,624.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Office Supplies,Finance Directorate,Antalis,4939326,196.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/08/2015,Office Supplies,Finance Directorate,Antalis,4946357,2850.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Office Supplies,Finance Directorate,Antalis,4960146,74.04,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Office Supplies,Finance Directorate,Antalis,5037564,4481.93,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Staff Costs,People Places & Services Directorate,Antalis,5037564,120.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Office Supplies,Finance Directorate,Antalis,5038622,624.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/08/2015,Office Supplies,Finance Directorate,Antalis,5038623,70.92,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/08/2015,Office Supplies,Finance Directorate,Antalis,5046406,624.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/08/2015,Office Supplies,Finance Directorate,Antalis,5071748,624.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/08/2015,Office Supplies,Finance Directorate,Antalis,5071749,624.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Supporting UK Business,Innovation Directorate,Marks & Clerk LLP,7062180,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/08/2015,Supporting UK Business,Innovation Directorate,Marks & Clerk LLP,7063355,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/08/2015,Supporting UK Business,Innovation Directorate,Shepherd and Wedderburn,10203069,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/08/2015,Supporting UK Business,Innovation Directorate,Shepherd and Wedderburn,10204682,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/08/2015,Accommodation,People Places & Services Directorate,Corona Energy,10350403,590.95,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Accommodation,People Places & Services Directorate,Corona Energy,10350406,442.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Telecoms,IT Directorate,VODAFONE LIMITED,13809251,0.32,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Telecoms,IT Directorate,Talk Talk Business,13893605,653.08,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,18924532,39.43,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,18938426,158.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,18953473,161.76,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,18962608,222.11,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,18973091,68.36,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,18982347,191.63,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,18988958,14.70,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,19002058,4833.88,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,19021792,-10.72,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,19021793,-14.26,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,19026040,2.11,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,19044380,178.39,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,19048993,-4.24,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/08/2015,Telecoms,IT Directorate,ZEN INTERNET LIMITED,19069710,172.86,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/08/2015,Staff Costs,Patents Directorate,Imperial College,20138227,660.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/08/2015,Office Supplies,Patents Directorate,Stationery Office,23547588,7.13,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Office Supplies,Finance Directorate,Banner  Business Supplies Ltd,29684302,1281.92,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/08/2015,Office Supplies,Finance Directorate,Banner  Business Supplies Ltd,29935928,20.47,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/08/2015,Office Supplies,Finance Directorate,Banner  Business Supplies Ltd,29935929,1.01,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/08/2015,Office Supplies,Finance Directorate,Banner  Business Supplies Ltd,29935930,7.03,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/08/2015,Office Supplies,Finance Directorate,Banner  Business Supplies Ltd,29935931,31.70,Not Applicable,
