Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4024711,"3,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4024712,"2,942.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4024714,913.25 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4024715,770.72 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4024716,586.22 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4024717,657.22 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4024718,740.36 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4024721,534.28 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4024723,"300,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4024725,610.94 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4024726,658.67 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4024729,"5,316.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Grant in Aid - Current -Other,Energy Markets & Infrastructure - Energy Development Unit,COAL AUTHORITY,4024730,"1,500,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4024731,"46,518.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4024732,"17,250.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4024733,"60,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4024734,"66,246.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4024735,"21,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Technical Advice / Services & Support,Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW PARTNERS LLP,4024737,"3,696.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,External Legal Advice and Services,Corporate Support & Shared Services - Corporate Support & Shared Services,BIRD & BIRD,4024738,"1,680.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,External Legal Advice and Services,Corporate Support & Shared Services - Corporate Support & Shared Services,BIRD & BIRD,4024740,"1,603.88 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,SENATOR INTERNATIONAL LTD,4024741,"3,050.42 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,TIM WOOD CONSULTING LTD,4024742,"3,985.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,TIM WOOD CONSULTING LTD,4024742,"4,704.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Economic Consultancy & Research,National Climate Change & Consumer Support - National Climate Change,COI COMMUNICATIONS,4024744,"82,190.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4024746,934.20 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/05/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL AUDIT OFFICE,4024747,"8,247.83 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Stationery,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE DEPOT UK LTD,4024749,"1,477.44 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,INFORMA UK LTD,4024750,"1,099.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4024753,"3,456.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Application Development,Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4024756,"6,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/05/2011 ,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4024761,"37,093.73 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,External Training,Energy Markets & Infrastructure - Energy Strategy and Futures,LONDON BUSINESS SCHOOL,4024762,"1,520.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,External Training,Energy Markets & Infrastructure - Energy Strategy and Futures,LONDON BUSINESS SCHOOL,4024762,"2,280.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Moving/Storage Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,J T & SONS RELOCATIONS LTD,4024763,575.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Moving/Storage Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,J T & SONS RELOCATIONS LTD,4024763,572.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Copyright Fees,Corporate Support & Shared Services - Corporate Support & Shared Services,THE COPYRIGHT LICENSING AGENCY LTD,4024768,"22,453.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,PARSONS BRINCKERHOFF LTD,4024769,"203,146.87 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ERNST & YOUNG LLP,4024770,"24,985.71 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Other IT Consultancy,Energy Markets & Infrastructure - DECC Commercial Team,BRAVOSOLUTION UK LTD,4024771,540.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,MARITIME AND COASTGUARD AGENCY MCA,4024772,"32,682.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4024774,"3,591.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4024775,"20,520.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4024777,"7,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,CHILDCARE VOUCHERS LTD (EDENRED),4024780,"22,594.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,CHILDCARE VOUCHERS LTD (EDENRED),4024780,564.85 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Other IT Costs,National Climate Change & Consumer Support - Communications,ACTICA CONSULTING LTD,4024781,"17,906.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Other IT Costs,National Climate Change & Consumer Support - Communications,ACTICA CONSULTING LTD,4024781,"8,102.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4024782,837.17 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4024783,530.28 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,MARINE SCOTLAND,4024784,"95,455.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,11/05/2011 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4024786,"2,230.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/05/2011 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4024787,"2,787.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2011 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4024788,930.44 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,IRON MOUNTAIN (UK) LTD,4024790,"163,848.95 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4024795,"3,382,401.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PB POWER LTD,4024798,"7,031.44 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4024800,"8,960.75 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Media and Design Services,National Climate Change & Consumer Support - Communications,QINETIQ LTD,4024801,"6,547.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4024802,"25,620.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,VESTAS TECHNOLOGY UK LTD,4024804,"609,318.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,VESTAS TECHNOLOGY UK LTD,4024804,"640,082.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,VESTAS TECHNOLOGY UK LTD,4024804,"475,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,IT Software Licences,Corporate Support & Shared Services - Corporate Support & Shared Services,ORACLE CORPORATION UK LTD,4024808,"102,084.74 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/05/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,SP TECHNICAL RESEARCH INSTITUTE OF SWEDEN,4024809,"13,302.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/05/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT UK LTD,4024812,"1,058.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Counsels Expert Legal Opinion on Points of Law,Energy Markets & Infrastructure - Office of Nuclear Development,PANNONE LLP,4024815,650.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Counsels Expert Legal Opinion on Points of Law,Energy Markets & Infrastructure - Office of Nuclear Development,PANNONE LLP,4024815,650.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,External Training,Science & Innovation Group - Science & Innovation Group,THE WHITEHALL AND INDUSTRY GROUP,4024816,750.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,11/05/2011 ,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,POSTURITE UK LTD,4024817,"2,636.40 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,DECC Only  - Shared Services - Accommodation,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4024818,"17,366.19 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,DECC Only  - Shared Services - Accommodation,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4024818,"12,784.78 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Technical Support,National Climate Change & Consumer Support - National Climate Change,AETHER LTD,4024822,"6,630.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Current Grants to Local Authorities,National Climate Change & Consumer Support - National Climate Change,OLDHAM MBC,4024823,"100,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Current Grants to Local Authorities,National Climate Change & Consumer Support - National Climate Change,OLDHAM MBC,4024823,"75,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Current Grants to Local Authorities,National Climate Change & Consumer Support - National Climate Change,OLDHAM MBC,4024823,"75,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/05/2011 ,Current Grants to Local Authorities,National Climate Change & Consumer Support - National Climate Change,OLDHAM MBC,4024823,"53,330.01 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4024830,719.64 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,External Legal Advice and Services,Corporate Support & Shared Services - Corporate Support & Shared Services,LANDMARK CHAMBERS,4024831,"4,425.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,External Legal Advice and Services,Corporate Support & Shared Services - Corporate Support & Shared Services,LANDMARK CHAMBERS,4024832,"4,825.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4024835,737.86 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4024837,560.98 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4024838,673.16 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Technical Advice / Services & Support,Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW PARTNERS LLP,4024847,"1,386.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,VESTAS TECHNOLOGY UK LTD,4024848,"750,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/05/2011 ,Professional Subscriptions,Corporate Support & Shared Services - Corporate Support & Shared Services,EMPLOYERS FORUM ON DISABILITY.,4024849,"5,940.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4024851,"1,782.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Grants - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE CARBON TRUST,4024852,"3,349,346.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/05/2011 ,Grants - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4024853,"3,105,051.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/05/2011 ,Recoveries Account,Corporate Payments,PETRO-CANADA GERMANY GMBH,4024855,"32,400.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4024857,"1,286.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/05/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,NATURAL ENVIRONMENT RESEARCH COUNCIL (BGS BRITISH GEOLOGICAL SURVEY),4024858,"33,590.20 "
