Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4027643,613.03
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4027645,579.38
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Aug-2011,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,ICF CONSULTING LTD T/A ICF INTERNATIONAL,4027650,"21,562.87"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,External Training,SEG Including Strategy - Strategy Inc Committee on Climate Change,MET OFFICE,4027657,"2,189.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,Board Members Tax Deductions (Suspense Account),Corporate Payments - ,HM REVENUE & CUSTOMS,4027658,"5,032.26"
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,Other IT Consultancy,EMI - Energy Development,UNIVERSITY OF SURREY,4027660,"23,331.92"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Hire of Agency Staff (Professional/Management),ICCEE - Heat & Industry,MORGAN HUNT UK LTD,4027668,"1,764.66"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Aug-2011,Other Printing and Stationery Costs (Programme),EMI - OND,COI COMMUNICATIONS,4027670,"37,150.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,DELOITTE LLP,4027671,"10,604.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,DELOITTE LLP,4027673,"10,604.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,DELOITTE LLP,4027674,"10,604.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,DELOITTE LLP,4027676,"10,604.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,DELOITTE LLP,4027677,"10,604.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,DELOITTE LLP,4027678,"10,604.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Aug-2011,Other Staff Costs,Operations - HR,CYCLESCHEME LTD,4027679,"3,494.32"
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,DELOITTE LLP,4027680,"10,604.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,DELOITTE LLP,4027681,"10,604.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Aug-2011,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4027682,"2,624.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,External Training,Operations - HR,QA LTD,4027684,"4,050.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OCCS,HAYS SPECIALIST RECRUITMENT LTD,4027685,937.72
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Aug-2011,External Training,Operations - HR,PARTNERSHIP MEDIA GROUP LTD T/A GOVNET COMMUNICATIONS,4027687,"3,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,QUO IMUS LTD T/A QI CONSULTING,4027688,"23,961.60"
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Aug-2011,Technical Advice / Services & Support,Operations - Finance and Procurement,INSIGHT MANAGEMENT & SYSTEMS LTD,4027689,"4,448.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Aug-2011,Hire of Agency Staff (Professional/Management),Private Office - Private Office,BROOK STREET (UK) LTD,4027694,519.16
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4027695,601.39
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Nuclear Decommissioning & Security,BROOK STREET (UK) LTD,4027697,916.8
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Aug-2011,International Subscriptions,EMI - ORED,NATIONAL RENEWABLE ENERGY LABORATORY,4027698,"4,326.34"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4027699,523.32
