Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,30/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,AX BUSINESS SOLUTIONS LTD,4015375,"£9,514",36993
Department For Energy and Climate Change,Department For Energy and Climate Change,04/06/2010,Corporate Management Consultancy,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OSPREY CONSULTING SERVICES LTD,4014597,"£8,865",35760
Department For Energy and Climate Change,Department For Energy and Climate Change,14/06/2010,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COSTAIN LTD,4014867,"£8,813",138285
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COSTAIN LTD,4014999,"£8,813",138285
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Emergency Planning Service,Energy Markets & Infrastructure - Security and resilience,STEELHENGE CONSULTING LTD,4014745,"£8,742",13808
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Emergency Planning Service,Energy Markets & Infrastructure - Security and resilience,STEELHENGE CONSULTING LTD,4014745,"£8,742",13808
Department For Energy and Climate Change,Department For Energy and Climate Change,03/06/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",WYG ENGINEERING LTD,4014565,"£8,583",6427
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4014819,"£7,638",145426
Department For Energy and Climate Change,Department For Energy and Climate Change,15/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4014722,"£7,579",119558
Department For Energy and Climate Change,Department For Energy and Climate Change,24/06/2010,IT Maintenance and Management Services,Energy Markets & Infrastructure - Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4015222,"£7,550",23810
Department For Energy and Climate Change,Department For Energy and Climate Change,03/06/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",WYG ENGINEERING LTD,4014565,"£7,464",6427
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4014707,"£7,351",118721
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4014707,"£7,351",118721
Department For Energy and Climate Change,Department For Energy and Climate Change,15/06/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - DECC Commercial Team,MACE LTD,4014891,"£7,323",119013
Department For Energy and Climate Change,Department For Energy and Climate Change,08/06/2010,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4014531,"£7,236",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,International Subscriptions,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",IEA INTERNATIONAL ENERGY AGENCY,4014566,"£7,210",161840
Department For Energy and Climate Change,Department For Energy and Climate Change,15/06/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - DECC Commercial Team,MACE LTD,4014891,"£7,167",119013
Department For Energy and Climate Change,Department For Energy and Climate Change,15/06/2010,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,MACE LTD,4014892,"£7,099",119013
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,STAYAHEAD TRAINING LTD,4014729,"£7,050",37739
Department For Energy and Climate Change,Department For Energy and Climate Change,08/06/2010,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4014530,"£7,000",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,BRITISH TRUST FOR ORNITHOLOGY (THE),4015182,"£7,000",36374
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Technical Support,Science & Innovation Group - Science & Innovation Group,ENVIROS CONSULTING LTD,4014708,"£6,509",100871
Department For Energy and Climate Change,Department For Energy and Climate Change,18/06/2010,Other Overseas T&S (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,FOREIGN AND COMMONWEALTH OFFICE (FCO),4015106,"£6,260",101572
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4015193,"£6,243",310
Department For Energy and Climate Change,Department For Energy and Climate Change,16/06/2010,Hotels Overseas,Energy & Climate Change International - International Climate Change Negotiations,MARITIM HOTEL BONN,4014860,"£6,105",37692
Department For Energy and Climate Change,Department For Energy and Climate Change,01/06/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4014490,"£6,000",158334
Department For Energy and Climate Change,Department For Energy and Climate Change,25/06/2010,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4015273,"£5,877",24160
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4015139,"£5,875",124446
Department For Energy and Climate Change,Department For Energy and Climate Change,30/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,HUDSON GLOBAL RESOURCES LTD,4014973,"£5,875",6264
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4015127,"£5,747",124446
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4015131,"£5,747",124446
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4015138,"£5,747",124446
