Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014161," £4,700 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,BT CONFERENCING,4014142, £874 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,BROOK STREET (UK) LTD,4014060, £617 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BLACON COMMUNITY TRUST,4014121," £19,658 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4013552," £3,212 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4014141," £1,654 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Technical Advice,International Energy & Climate Change - International Energy & Carbon Budgets,ANDALIN CONSULTING,4014167," £2,610 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Telecomms Equipment,Corporate Support & Shared Services - Corporate Support & Shared Services,ACT TELECONFERENCING LTD,4013995," £2,368 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Telecomms Equipment,Corporate Support & Shared Services - Corporate Support & Shared Services,ACT TELECONFERENCING LTD,4013994," £2,368 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Telecomms Equipment,Corporate Support & Shared Services - Corporate Support & Shared Services,ACT TELECONFERENCING LTD,4013994," £1,466 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Accounting Services,Corporate Support & Shared Services - Corporate Support & Shared Services,RUSSAM GMS LTD,4014179," £1,800 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,REED EMPLOYMENT LTD,4013644, £529 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Printing (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,PROMOTIONAL LOGISTICS LTD,4014041," £5,936 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Printing (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,PROMOTIONAL LOGISTICS LTD,4014041," £5,936 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,PEC VIDEO LTD,4014172," £4,750 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,PEC VIDEO LTD,4014172," £1,409 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,PEC VIDEO LTD,4014172, £917 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,PEC VIDEO LTD,4014172, £529 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014087, £527 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014103, £523 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014093, £519 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,HERIOT-WATT UNIVERSITY,4014178," £1,652 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - DECC Commercial Team,GREENHILL & CO INTERNATIONAL LLP,4014188," £10,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - DECC Commercial Team,GREENHILL & CO INTERNATIONAL LLP,4014188," £10,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - DECC Commercial Team,GREENHILL & CO INTERNATIONAL LLP,4014187," £10,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Economic Consultancy and Research,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",GEMSERV LTD,4014190," £10,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Technical Advice / Services & Support,Energy Markets & Infrastructure - Energy Development Unit,ENTEC UK LTD,4014177," £2,250 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,CHILDCARE VOUCHERS LTD (ACCOR SERVICES),4014184," £3,119 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4014173," £4,406 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4014174," £3,525 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4014146," £62,331 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4014147," £2,605 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Energy Efficiency & Consumers,ADECCO UK LTD,4014127, £720 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/05/2010,Fixtures and fittings,Energy Markets & Infrastructure - EMI Director General,21ST CENTURY AV LTD,4014189," £2,112 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4014233," £4,085 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4014233," £3,998 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Other Staff Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,WESTMINSTER KINGSWAY COLLEGE,4014176, £585 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4014194," £5,985 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Flexible Computing Service,DECC Central Budgets - DECC Central Budgets,VODAFONE LTD,4014194," £1,358 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4014210, £812 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4014195," £51,866 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4014195," £50,763 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4014195, £734 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Technical Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PARSONS BRINCKERHOFF LTD,4014245," £197,562 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Technical Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PARSONS BRINCKERHOFF LTD,4014245," £197,562 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013633, £612 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014090, £503 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4014234," £95,279 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4014250," £9,322 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4014196," £1,200 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4014193," £1,475,828 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4013987," £7,221 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,I-SOURCEIT LTD,4014191," £2,725 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,IRON MOUNTAIN LTD,4014248," £167,345 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Hospitality - Overseas,Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4014241, £720 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,ENVIRONMENT AGENCY,4014199," £70,832 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4014217," £4,038,520 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4014218," £1,996,812 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4014219," £102,546 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4014237," £6,074 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4014251," £3,591 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4014237," £1,617 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Hotels,Corporate Support & Shared Services - Corporate Support & Shared Services,CITY INN WESTMINSTER,4014223, £900 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Hotels,Corporate Support & Shared Services - Corporate Support & Shared Services,CITY INN WESTMINSTER,4014223, £899 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Other Media Costs,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CENTRAL OFFICE OF INFORMATION [COI],4014236," £1,162 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014222," £143,792 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014220," £125,408 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,BROOK STREET (UK) LTD,4014213, £671 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,IT Systems Development,National Climate Change & Consumer Support - Communications,AMEE UK LTD,4014198," £3,200 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,IT Systems Development,National Climate Change & Consumer Support - Communications,AMEE UK LTD,4014200," £1,750 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4014205," £152,900 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4014206," £5,990 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/05/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ADECCO UK LTD,4014249, £584 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014277," £1,574 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014279, £835 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014280, £694 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Estates Consultancy,DECC Central Budgets - DECC Central Budgets,VEGA CONSULTING SERVICES LTD,4014045," £20,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS,4014229," £6,408 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS,4014229," £5,381 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS,4014229," £1,027 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Other Office Service Costs,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,PROMOTIONAL LOGISTICS LTD,4014014," £5,413 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PB POWER LTD,4014272," £17,187 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PB POWER LTD,4014274," £9,652 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,PARITY RESOURCES LTD,996626," £26,192 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013968, £573 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013968, £573 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4014268," £2,768 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4014270," £2,278 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4014269," £1,351 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4014228," £1,678 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Estates Consultancy,DECC Central Budgets - DECC Central Budgets,JUDD FARRIS LTD,4014285," £1,658 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Translation Services,Energy Markets & Infrastructure - Energy Strategy and Futures,FCO SERVICES,4014264, £773 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,International Subscriptions,International Energy & Climate Change - International Energy & Carbon Budgets,ENVIROS CONSULTING LTD,4014026," £2,974 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,4014276," £7,503 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,4014278," £5,604 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4014226," £24,000,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014267," £637,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,BROOK STREET (UK) LTD,4014243, £743 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Office Supplies,Science & Innovation Group - Science & Innovation Group,BANNER BUSINESS SERVICES LTD,4014282, £589 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4014207," £1,285 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Energy Efficiency & Consumers,ADECCO UK LTD,4014247," £4,749 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4014231, £900 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Energy Efficiency & Consumers,ADECCO UK LTD,4014247, £873 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,ADECCO UK LTD,4014254, £720 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4014293," £1,318 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4014293," £1,290 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014291," £1,608 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014292," £1,574 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014290," £1,286 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014295, £976 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014322, £571 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014289, £520 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4014318," £2,679 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4014329," £2,679 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4014319," £2,143 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4014315, £726 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013949, £654 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014314, £643 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014302, £643 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013969, £604 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013969, £604 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013939, £596 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013956, £542 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4014311, £542 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013943, £538 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4014238," £93,432 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4014252," £9,042 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4014252," £9,042 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,MANPOWER UK LTD,4014317, £869 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Media Services,National Climate Change & Consumer Support - Communications,LEXISNEXIS BUTTERWORTHS,4014324, £895 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4014273," £1,589 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Economic Consultancy & Research,National Climate Change & Consumer Support - Energy Efficiency & Consumers,EVANS MAJOR ASSOCIATES LTD,4014287," £10,478 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Economic Consultancy & Research,National Climate Change & Consumer Support - Energy Efficiency & Consumers,EVANS MAJOR ASSOCIATES LTD,4014287," £4,085 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Other Overseas T&S,International Energy & Climate Change - International Energy & Carbon Budgets,DONA MA MONTSERRAT BORRAS LLOP,4014192," £1,431 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4014298," £2,477,135 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4014298," £1,098,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4014298," £812,673 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4014298," £602,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4014298," £546,163 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/05/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4014298," £470,089 "
