Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Oct-2011,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4029053,"2,435.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029341,"2,821.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029342,"2,821.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029343,"2,821.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029344,"2,821.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029347,"2,821.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029348,"2,007.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029349,"2,007.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029350,"2,007.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029351,"2,007.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029352,"2,007.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029353,"2,821.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029354,"2,821.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029357,"2,821.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029359,"2,007.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029360,"2,007.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029361,"2,007.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4029362,"2,007.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Oct-2011,Government Procurement Card New Procedures,Corporate Payments - ,BARCLAYS BANK PLC,4029027,"36,654.47"
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Finance and Procurement,BRAMBLE CC LTD,4029204,"14,136.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,BRE,4028854,"51,775.20"
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,Secondees (not paid directly),EMI - Energy Markets and Networks,BRIGHT FUTURES (NZ) LTD,4028912,"14,886.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Oct-2011,Payment for Shared Services,ICCEE - Green Deal,BRITISH STANDARDS INSTITUTION (BSI),4029310,"14,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Nuclear Decommissioning & Security,BROOK STREET (UK) LTD,4028841,"1,008.48"
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Finance and Procurement,BROOK STREET (UK) LTD,4028842,710.05
Department of Energy and Climate Change,Department of Energy and Climate Change,11-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),"EMI - International, EU & Energy Security",BROOK STREET (UK) LTD,4028844,501.16
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4028847,816.18
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Oct-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4028851,605.56
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Oct-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4028853,598.08
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - Commercial,BROOK STREET (UK) LTD,4029038,570.37
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4029040,682.54
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Nuclear Decommissioning & Security,BROOK STREET (UK) LTD,4029044,848.04
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Finance and Procurement,BROOK STREET (UK) LTD,4029056,673.4
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Oct-2011,Salaries - Casuals (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4029060,691.73
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4029211,523.32
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Nuclear Decommissioning & Security,BROOK STREET (UK) LTD,4029212,"1,031.40"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Oct-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4029213,523.32
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - Commercial,BROOK STREET (UK) LTD,4029252,588.62
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Finance and Procurement,BROOK STREET (UK) LTD,4029311,691.73
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Oct-2011,Salaries - Casuals (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4029429,590.94
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Oct-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4029430,523.32
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4029431,849.59
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Nuclear Decommissioning & Security,BROOK STREET (UK) LTD,4029434,"1,077.24"
