,,,,,,,Annex A
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,DECC Only  - Shared Services - Other Staff Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,PERSONAL PERFORMANCE CONSULTANTS UK LTD,4025885,"1,623.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,DECC Only  - Shared Services - Other Staff Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,PERSONAL PERFORMANCE CONSULTANTS UK LTD,4025886,"1,623.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Other HR Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4025889,"11,300.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Other HR Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4025891,"8,443.12 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Other HR Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4025891,"6,556.88 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Other IT Costs (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4025895,"7,560.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4025896,"2,942.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4025897,"2,787.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4025898,"2,230.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Entertaining UK,Energy Markets & Infrastructure - Energy Development Unit,ST LUKES LTD T/A THE GORDON HIGHLANDERS MUSEUM,4025899,"1,960.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,HMIC (HER MAJESTY'S INSPECTORATE OF CONSTABULARY),4025900,"61,336.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,HMIC (HER MAJESTY'S INSPECTORATE OF CONSTABULARY),4025900,"51,114.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AMTEC Consulting plc,4025903,"23,900.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AMTEC Consulting plc,4025904,"10,976.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AMTEC Consulting plc,4025904,"8,923.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AMTEC Consulting plc,4025905,"17,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4025906,"5,671.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4025907,"179,567.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4025908,"91,453.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4025910,"7,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4025911,"11,300.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4025912,"1,992.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,30/06/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4025914,"96,428.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4025915,"28,622.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4025916,"15,852.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4025918,"20,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4025920,"2,745.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4025921,"166,675.88 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4025922,"32,070.93 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4025923,"26,584.96 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4025924,"128,044.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4025925,"5,759.70 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4025928,"72,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4025929,"15,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EVOLVE BUSINESS CONSULTANCY LTD,4025930,"11,587.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BADENOCH AND CLARK LTD,4025931,"2,821.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BADENOCH AND CLARK LTD,4025932,"2,821.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EVOLVE BUSINESS CONSULTANCY LTD,4025933,"22,613.32 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EVOLVE BUSINESS CONSULTANCY LTD,4025933,"22,613.32 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4025934,910.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Technical Advice,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,MOTT MACDONALD LTD,4025935,"38,484.06 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Other Training Costs,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4025936,910.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Other Training Costs,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT,4025937,910.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BADENOCH AND CLARK LTD,4025938,"2,821.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Public Relations & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,LEWISLIVE LTD,4025940,"2,280.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Public Relations & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,LEWISLIVE LTD,4025940,"2,280.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4025942,673.60 
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4025943,"1,099.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4025944,"2,399.05 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,BT CONFERENCING VIDEO LTD,4025945,"1,005.72 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,External Training,Energy Markets & Infrastructure - Energy Strategy and Futures,CIPD ENTERPRISES LTD,4025947,"1,869.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Professional Subscriptions,Corporate Support & Shared Services - Corporate Support & Shared Services,HM REVENUE & CUSTOMS,4025949,"2,460.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Professional Subscriptions,Energy & Climate Change International - International Climate Change Negotiations,HM REVENUE & CUSTOMS,4025951,820.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NERA UK LTD,4025956,"2,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/06/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NERA UK LTD,4025956,"17,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",GREEN PARK INTERIM & EXECUTIVE LTD,4025959,"18,296.10 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4025960,"1,700.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4025961,"6,912.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Hire of Conference Facilities (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EEF LTD,4025963,"1,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Hire of Conference Facilities (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EEF LTD,4025964,594.20 
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4025968,"42,677.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4025969,"5,675.90 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,FORESEE LTD,4025970,"2,925.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,FORESEE LTD,4025972,"4,275.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,FORESEE LTD,4025974,"1,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,FORESEE LTD,4025975,"1,950.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4025976,"13,860.97 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4025978,"3,628.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4025979,"6,593.37 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4025980,"22,044.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4025980,"5,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,KPMG LLP,4025981,"13,888.55 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT UK LTD,4025982,"1,764.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4025983,883.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4025984,883.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Conference and Exhibition Services (Programme),Energy Markets & Infrastructure - Energy Development Unit,HILTON GARDEN INN ABERDEEN CITY CENTRE,4025985,"2,994.62 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,FORESEE LTD,4025986,540.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4025988,"81,060.32 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4025990,825.72 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4025991,"1,030.97 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4025992,723.79 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4025995,"65,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Amount owed by DECC to BIS for recharged services,DECC Central Budgets - DECC Central Budgets,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4025996,"100,865.24 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4026001,519.59 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Outsourced Technical Support (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",PA CONSULTING GROUP LTD,4026002,"20,520.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Outsourced Technical Support (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",PA CONSULTING GROUP LTD,4026003,"1,260.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Outsourced Technical Support (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",PA CONSULTING GROUP LTD,4026003,"11,340.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MILLS & REEVE,4026010,"13,889.13 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4026012,"3,322.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4026013,"2,658.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,GREEN PARK INTERIM & EXECUTIVE LTD,4026015,"6,982.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,GREEN PARK INTERIM & EXECUTIVE LTD,4026017,"2,625.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4026018,702.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Grants - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE CARBON TRUST,4026019,"768,250.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE CARBON TRUST,4026019,"2,256,794.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Technical Advice / Services & Support,Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW PARTNERS LLP,4026020,"2,079.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Car Hire and Leasing,Energy Markets & Infrastructure - Energy Development Unit,WHYTES COACHES LTD,4026021,609.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,CPL DISTRIBUTION LTD T/A CPL FUELS,4026023,"1,459,469.35 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Stationery,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE DEPOT UK LTD,4026024,"1,600.56 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Media Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4026025,"40,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4026027,"150,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,HAYS SPECIALIST RECRUITMENT LTD,4026028,"1,097.62 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Computer Equipment - Clearing,Corporate Support & Shared Services - Corporate Support & Shared Services,INSIGHT DIRECT (UK) LTD,4026029,"18,691.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4026032,"9,644.62 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,PARSONS BRINCKERHOFF LTD,4026033,"24,964.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4026035,"14,742.86 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Economic Consultancy and Research,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4026037,"13,541.17 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Economic Consultancy and Research,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4026037,"13,541.17 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE MCS LTD,4026040,"10,604.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE MCS LTD,4026041,"10,604.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE MCS LTD,4026042,"10,604.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE MCS LTD,4026043,"10,604.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4026044,"2,942.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4026045,"3,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4026046,"2,403.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,International Subscriptions,Energy Markets & Infrastructure - Office of Nuclear Development,OECD ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT,4026048,"634,876.06 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026050,608.72 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026051,538.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/06/2011 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,PETROLEUMSTILSYNET,4026053,984.38 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Economic Consultancy and Research,Energy Markets & Infrastructure - Energy Development Unit,RUSSELL MCLEOD LTD,4026054,"1,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Board Members Tax Deductions (Suspense Account),Corporate Payments,HM REVENUE & CUSTOMS,4026059,"1,101.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Board Members National Insurance Deductions (Suspense Account),Corporate Payments,HM REVENUE & CUSTOMS,4026061,503.62 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026062,616.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026064,"1,612.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Amount owed by DECC to BIS for recharged services,DECC Central Budgets - DECC Central Budgets,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4026065,"9,836.63 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4026070,916.92 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026072,616.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,OFFICE ANGELS LTD,4026073,616.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026075,"6,804.45 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4026077,799.99 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4026078,858.82 
