,,,,,,,Annex A
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4025539,"3,151.53 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4025540,"17,665.37 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Hire of Conference Facilities (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THOMAS TELFORD LTD T/A ONE GREAT GEORGE STREET,4025543,"5,220.30 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,OFFICE ANGELS LTD,4025548,658.08 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,STEELHENGE CONSULTING LTD,4025550,"1,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Stationery,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE DEPOT UK LTD,4025553,"1,477.44 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4025556,629.29 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,COI COMMUNICATIONS,4025562,"7,250.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4025564,916.92 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4025565,637.51 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4025566,"1,122.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE ANGELS LTD,4025567,625.18 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4025568,621.06 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,DECC Only  - Shared Services - Professional Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR WORK AND PENSIONS (DWP),4025569,"6,810.02 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Approved Pensions Awarding Centres (DWP),Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR WORK AND PENSIONS (DWP),4025570,"4,732.72 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE MCS LTD,4025572,"17,352.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4025573,"3,091.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4025574,"2,403.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4025575,"2,376.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE MCS LTD,4025576,"17,352.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Telecommunications,Corporate Support & Shared Services - Corporate Support & Shared Services,ACT TELECONFERENCING LTD,4025577,"2,340.65 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE MCS LTD,4025578,"17,352.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Telecommunications,Corporate Support & Shared Services - Corporate Support & Shared Services,ACT TELECONFERENCING LTD,4025579,"1,419.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE MCS LTD,4025580,"17,352.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BADENOCH AND CLARK LTD,4025581,"1,692.90 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BADENOCH AND CLARK LTD,4025582,"2,257.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BADENOCH AND CLARK LTD,4025583,"2,257.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,PARSONS BRINCKERHOFF LTD,4025584,"96,911.98 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/06/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ILX GROUP PLC,4025587,"10,680.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/06/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4025590,"2,231.32 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4025593,"6,983.46 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4025594,"2,453.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4025595,"2,787.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4025596,"4,829.70 "
