Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Professional Subscriptions,Energy Markets & Infrastructure - Energy Strategy and Futures,GAS STRATEGIES GROUP LTD,4016618,£646,19213
Department For Energy and Climate Change,Department For Energy and Climate Change,13/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,REED EMPLOYMENT LTD,4016693,£645,159011
Department For Energy and Climate Change,Department For Energy and Climate Change,13/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BROOK STREET (UK) LTD,4016689,£644,100051
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4017063,£643,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Mobile Phones (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,VODAFONE LTD,4016968,£637,127553
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Mobile Phones (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,VODAFONE LTD,4016963,£637,127553
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Mobile Phones (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,VODAFONE LTD,4016966,£636,127553
Department For Energy and Climate Change,Department For Energy and Climate Change,25/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016946,£635,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Mobile Phones (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,VODAFONE LTD,4016967,£634,127553
Department For Energy and Climate Change,Department For Energy and Climate Change,05/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BROOK STREET (UK) LTD,4016424,£632,100051
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016574,£631,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,ADECCO UK LTD,4016740,£629,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016586,£627,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4017055,£627,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4017028,£626,100051
Department For Energy and Climate Change,Department For Energy and Climate Change,10/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE ANGELS LTD,4016566,£624,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Mobile Phones (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,VODAFONE LTD,4016970,£623,127553
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Mobile Phones (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,VODAFONE LTD,4016969,£620,127553
Department For Energy and Climate Change,Department For Energy and Climate Change,09/08/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4016524,£619,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,10/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4016548,£617,100051
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4016764,£617,100051
