Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,22/07/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4016026,"£25,626",158334
Department For Energy and Climate Change,Department For Energy and Climate Change,22/07/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4016032,"£25,500",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,MOTT MACDONALD LTD,4015798,"£25,472",10932
Department For Energy and Climate Change,Department For Energy and Climate Change,09/07/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4015683,"£25,000",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,09/07/2010,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - DECC Commercial Team,WRIGHT ENERGY SOLUTIONS LTD,4015684,"£24,233",35611
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,UNIVERSITY OF SURREY,4016114,"£24,108",105154
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,UNIVERSITY OF SURREY,4016114,"£23,908",105154
Department For Energy and Climate Change,Department For Energy and Climate Change,12/07/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4015622,"£23,490",22418
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ERNST & YOUNG LLP,4015663,"£23,306",100348
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4015936,"£23,205",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4016034,"£22,688",158334
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4015967,"£22,208",145114
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Outsourced Programme Management Services,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4015822,"£22,008",310
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Outsourced Programme Management Services,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4015820,"£22,008",310
Department For Energy and Climate Change,Department For Energy and Climate Change,07/07/2010,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,UNIVERSITY OF CAMBRIDGE,4015442,"£22,000",130825
Department For Energy and Climate Change,Department For Energy and Climate Change,07/07/2010,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,UNIVERSITY OF CAMBRIDGE,4015442,"£22,000",130825
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4016134,"£21,859",100711
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,PARITY RESOURCES LTD,4016087,"£21,811",119558
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4015967,"£21,652",145114
Department For Energy and Climate Change,Department For Energy and Climate Change,20/07/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4015931,"£21,485",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,07/07/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4015461,"£21,153",6264
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4015792,"£21,006",136546
Department For Energy and Climate Change,Department For Energy and Climate Change,22/07/2010,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ERNST & YOUNG LLP,4016018,"£20,825",100348
Department For Energy and Climate Change,Department For Energy and Climate Change,09/07/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4015682,"£19,890",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4015661,"£19,868",121906
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4015660,"£19,762",121906
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4016147,"£19,004",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,Media Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4016154,"£19,000",145114
Department For Energy and Climate Change,Department For Energy and Climate Change,05/07/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4015460,"£18,809",22418
Department For Energy and Climate Change,Department For Energy and Climate Change,16/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MILLS & REEVE,4015902,"£18,790",9513
Department For Energy and Climate Change,Department For Energy and Climate Change,05/07/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4015460,"£18,727",22418
Department For Energy and Climate Change,Department For Energy and Climate Change,19/07/2010,Contract Management,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CAPITA RESOURCING LTD,4015836,"£18,370",11613
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,LINKLATERS LLP,4015728,"£17,911",27334
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,REDPOINT ENERGY LTD,4016010,"£17,800",17290
Department For Energy and Climate Change,Department For Energy and Climate Change,20/07/2010,Public Relations and Marketing,National Climate Change & Consumer Support - Communications,EC GROUP,4015955,"£17,730",143055
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4015998,"£17,704",121906
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4016163,"£17,544",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,12/07/2010,Technical Support,Science & Innovation Group - Science & Innovation Group,ENVIROS CONSULTING LTD,4015678,"£17,451",100871
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4015817,"£17,390",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4015817,"£17,390",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4015817,"£17,390",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,14/07/2010,Technical Support,Science & Innovation Group - Science & Innovation Group,ENVIROS CONSULTING LTD,4015466,"£17,385",100871
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,COLLABRO,4015627,"£16,953",136110
Department For Energy and Climate Change,Department For Energy and Climate Change,19/07/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4015906,"£16,900",4877
Department For Energy and Climate Change,Department For Energy and Climate Change,05/07/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,4015475,"£16,855",115010
Department For Energy and Climate Change,Department For Energy and Climate Change,14/07/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4015807,"£16,421",32453
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,MOTT MACDONALD LTD,4015797,"£16,000",10932
Department For Energy and Climate Change,Department For Energy and Climate Change,16/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CLARKSON MANAGEMENT SERVICES LTD,4015901,"£15,986",18571
Department For Energy and Climate Change,Department For Energy and Climate Change,29/07/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,QINETIQ LTD,4016203,"£15,950",115161
Department For Energy and Climate Change,Department For Energy and Climate Change,06/07/2010,Corporate Management Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,CAPITA SYMONDS LTD,4015530,"£15,496",12716
