Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure,NUCLEAR DECOMMISSIONING AUTHORITY,4020287," 14,505,456.46 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure,NUCLEAR DECOMMISSIONING AUTHORITY,4020287," 218,154.95 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure,NUCLEAR DECOMMISSIONING AUTHORITY,4020288," 3,993,708.42 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Interpreters,International Energy & Climate Change - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4021210," 2,081.73 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Interpreters,International Energy & Climate Change - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4021210, 580.03 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Other Training Costs,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,PLATTS,4021396, 850.87 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Maintenance of IT Equipment,Energy Markets & Infrastructure - Energy Development Unit,SAP (UK) LTD,4021432," 25,529.43 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4021446," 3,295,016.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4021459, 885.42 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4021465," 18,800,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4021489, 815.16 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4021490, 925.38 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4021498," 49,723.29 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,External Training,International Energy & Climate Change - International Climate Change Negotiations,NATIONAL SCHOOL OF GOVERNMENT,4021513, 615.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4021537," 2,925.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4021538," 2,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4021543," 19,732.69 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,External Training,International Energy & Climate Change - International Energy & Carbon Budgets,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4021546, 615.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4021551, 506.40 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE ANGELS LTD,4021552, 636.60 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4021555, 608.92 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4021558, 820.70 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4021563, 573.34 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4021565, 512.74 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Stationery,Corporate Support & Shared Services - Corporate Support & Shared Services,LYRECO UK LTD,4021569, 559.82 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Application Support Service,National Climate Change & Consumer Support - Communications,PARITY RESOURCES LTD,4021572, 736.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4021574, 965.34 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Technical Support,National Climate Change & Consumer Support - National Climate Change,AETHER LTD,4021575," 4,212.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ILX GROUP PLC,4021576," 5,300.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Application Support Service,National Climate Change & Consumer Support - Communications,PARITY RESOURCES LTD,4021577, 736.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4021579," 2,115.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Other Centrally -Funded IT Maintenance and Support,Corporate Support & Shared Services - Corporate Support & Shared Services,KINEO LTD,4021581," 3,650.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/02/2011 ,Other Centrally -Funded IT Maintenance and Support,Corporate Support & Shared Services - Corporate Support & Shared Services,KINEO LTD,4021582," 3,650.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Independent Experts,Energy Markets & Infrastructure - Security and resilience,DSTL,4021347," 22,046.63 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4021488," 135,373.76 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,International Subscriptions,International Energy & Climate Change - International Energy & Carbon Budgets,INTERNATIONAL RENEWABLE ENERGY AGENCY,4021501," 683,615.70 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4021506," 4,323.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,External Legal Advice and Services,Corporate Support & Shared Services - Corporate Support & Shared Services,BRICK COURT CHAMBERS,4021519," 1,830.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,LAMMAS LOW IMPACT INITIATIVES LTD,4021522," 74,762.49 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,POYRY MANAGEMENT CONSULTING (UK) LTD,4021523," 17,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4021534," 13,317.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4021548," 13,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,QA LTD,4021550," 1,053.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4021553, 593.10 
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4021564, 514.02 
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ILX GROUP PLC,4021578," 9,996.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ACKNOWLEDGE LTD,4021580," 1,400.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4021584, 583.42 
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4021585, 640.61 
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4021586, 728.60 
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Science & Innovation Group - Science & Innovation Group,ADECCO UK LTD,4021587, 773.83 
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,External Training,International Energy & Climate Change - International Energy & Carbon Budgets,CHATHAM HOUSE ENTERPRISES LTD,4021592, 725.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4021594," 574,380.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4021594," 1,720,154.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4021594," 1,250,580.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4021594," 4,889,055.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Capital Grants to Local Authorities - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4021595," 2,384,444.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Capital Grants to Local Authorities - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4021596," 1,802,443.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4021597," 997,953.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4021597," 128,690.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Stationery,Energy Markets & Infrastructure - Office of Nuclear Development,LYRECO UK LTD,4021623, 647.43 
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Stationery,Energy Markets & Infrastructure - Office of Nuclear Development,LYRECO UK LTD,4021643, 909.88 
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4021649," 81,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4021652," 13,200.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4021658," 49,723.29 "
Department of Energy and Climate Change,Department of Energy and Climate Change,02/02/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4021683, 895.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4021493," 9,484.36 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4021588, 539.46 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4021618," 1,233.67 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4021621, 885.42 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4021702, 538.04 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Other Accommodation Charges,DECC Central Budgets - DECC Central Budgets,APPLEYARDS LTD,4021704," 2,000.40 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4021710," 5,686.89 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4021712," 1,553.49 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4021713," 130,974.94 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4021724," 2,176.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GREEN TOMATO CARS LTD,4021748, 590.29 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4021750," 16,792.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4021753, 750.18 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4021754, 849.06 
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Learning and Dev Services - Support for PTSC Training Delive,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BIRKBECK COLLEGE,4021756," 1,323.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4021757," 780,069.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Telecommunications,Corporate Support & Shared Services - Corporate Support & Shared Services,ACT TELECONFERENCING LTD,4021760," 3,553.99 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Insolvency Service Policy Work,Corporate Support & Shared Services - Corporate Support & Shared Services,OGC BUYING SOLUTIONS,4021761," 9,938.86 "
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011 ,Long Term Detached Duty,National Climate Change & Consumer Support - National Climate Change,MINISTRY OF DEFENCE,4021772," 1,861.40 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Application Support Service,Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4021496," 4,735.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4021541," 7,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4021541," 4,357.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4021541," 3,143.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4021601," 9,930.10 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,THRESHOLDS LTD,4021726," 1,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4021749, 907.50 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Telecommunications,Corporate Support & Shared Services - Corporate Support & Shared Services,ACT TELECONFERENCING LTD,4021758," 1,169.91 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Publications,Corporate Support & Shared Services - Corporate Support & Shared Services,PRACTICAL LAW COMPANY LTD,4021759," 6,120.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,EXMOOR NATIONAL PARK AUTHORITY,4021763," 96,375.77 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4021765," 1,727.90 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4021765," 1,764.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4021775," 4,323.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Application Support Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FIVIUM LTD,4021778," 1,592.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Insolvency Service Policy Work,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4021781," 2,384.08 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,STEELHENGE CONSULTING LTD,4021782," 1,800.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Consultancy Advice Provided From Third Parties,Energy Markets & Infrastructure - Security and resilience,STEELHENGE CONSULTING LTD,4021783," 12,988.46 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Economic Consultancy & Research,National Climate Change & Consumer Support - Energy Efficiency & Consumers,HM LAND REGISTRY,4021784," 1,293.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Other Accommodation Charges,DECC Central Budgets - DECC Central Budgets,APPLEYARDS LTD,4021787," 5,254.56 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4021795," 1,700.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,DELOITTE LLP,4021796," 41,221.90 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,MARKET OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI,4021798," 20,317.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/02/2011 ,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ERNST & YOUNG LLP,4021799," 16,029.62 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,VALUATION OFFICE AGENCY,4021133," 10,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4021589, 735.07 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Hotels,DECC Private Office Group - DECC Private Office Group,CITY INN LTD T/A MINT HOTEL WESTMINSTER,4021598, 809.25 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Professional Training,Corporate Support & Shared Services - Corporate Support & Shared Services,METHODOLOGY CONSULTANCY SERVICE,4021599," 1,336.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4021742," 68,554.75 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4021743," 1,495.39 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4021743," 10,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Other Travel & Subsistence Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ICE EDUCATION LTD,4021755, 600.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4021777, 974.05 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4021803," 5,000,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Printing,Energy Markets & Infrastructure - Energy Strategy and Futures,HM TREASURY,4021804," 2,165.97 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,JDR CABLE SYSTEMS LTD,4021805," 97,274.42 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Sponsorship Support,Energy Markets & Infrastructure - Energy Development Unit,EAST OF ENGLAND ENERGY GROUP (EEEGR),4021808," 3,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4021810," 3,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,IT Services (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4021850," 14,040.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/02/2011 ,Media Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4021851," 3,325.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/02/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4021560," 10,551.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/02/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4021773," 2,050.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/02/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4021774," 2,100.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/02/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4021776," 2,729.03 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/02/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4021790," 3,233.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/02/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Energy Strategy and Futures,DELOITTE LLP,4021823," 10,407.02 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/02/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,NATURAL ENVIRONMENT RESEARCH COUNCIL (BGS BRITISH GEOLOGICAL SURVEY),4021827," 50,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4021829," 2,764.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/02/2011 ,Corporate Management Consultancy,Energy Markets & Infrastructure - Office of Nuclear Development,KPMG,4021831," 17,200.53 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/02/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4021834," 2,942.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/02/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Energy Strategy and Futures,RESPONSIVELOAD LTD,4021840," 21,921.64 "
