,,,,,,,Annex B
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4026750,886.36 
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026752,625.18 
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026755,629.29 
Department of Energy and Climate Change,Department of Energy and Climate Change,18/07/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4026760,"4,703.47 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/07/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COSTAIN LTD,4026761,"4,714.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/07/2011 ,Sponsorship Support,Energy Markets & Infrastructure - Energy Development Unit,NOF ENERGY LTD,4026763,"2,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/07/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4026767,"200,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4026768,"4,455.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4026772,769.46 
Department of Energy and Climate Change,Department of Energy and Climate Change,18/07/2011 ,Outsourced Technical Support (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",PA CONSULTING GROUP LTD,4026774,"26,220.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/07/2011 ,Outsourced Technical Support (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",PA CONSULTING GROUP LTD,4026775,"26,460.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BADENOCH AND CLARK LTD,4026777,"2,821.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BADENOCH AND CLARK LTD,4026778,"2,821.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,METHODS CONSULTING LTD,4026781,"7,444.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",METHODS CONSULTING LTD,4026782,"16,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",METHODS CONSULTING LTD,4026783,"11,770.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/07/2011 ,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4026784,"8,501.21 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/07/2011 ,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4026784,"8,682.08 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/07/2011 ,DECC Only  - Shared Services - IT Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FCO SERVICES,4026785,"3,110.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4026787,"14,820.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4026791,"300,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4026792,"59,812.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Salaries - Secondees (Programme),EMI - OND,ENERGYSOLUTIONS EU LTD,4026795,"3,698.40 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Salaries - Secondees (Programme),EMI - OND,ENERGYSOLUTIONS EU LTD,4026796,"3,883.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4026797,"2,661.06 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Salaries - Secondees (Programme),EMI - OND,ENERGYSOLUTIONS EU LTD,4026798,"4,068.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,HAYS SPECIALIST RECRUITMENT LTD,4026799,"1,083.10 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4026800,"3,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4026801,"2,942.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Other Staff Costs,ICCEE - International Climate Change,CHATHAM HOUSE ENTERPRISES LTD,4026803,695.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Other Staff Costs,ICCEE - International Climate Change,CHATHAM HOUSE ENTERPRISES LTD,4026803,521.25 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,External Training,Operations - Legal,THE SPEECH RECOGNITION CO LTD,4026804,700.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Other IT Costs (Programme),National Climate Change & Consumer Support - Communications,E CHRISTIAN & COMPANY LTD T/A EC GROUP,4026807,849.56 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Other IT Costs (Programme),Operations - Communications,E CHRISTIAN & COMPANY LTD T/A EC GROUP,4026807,"1,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026808,616.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026809,658.08 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4026811,916.92 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4026811,907.48 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/07/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ASPIRE EUROPE LTD,4026814,"1,200.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026815,625.18 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026816,883.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026818,883.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026819,645.74 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE,4026821,"77,245.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4026822,"52,975.51 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4026823,"26,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4026825,"1,058.51 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,UK Subscriptions,EMI - ORED,RENEWS LTD,4026826,"1,350.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE ANGELS LTD,4026827,658.08 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Leadership & People Management Training,ICCEE - Green Deal,PRAESTA PARTNERS LLP,4026829,"1,425.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Leadership & People Management Training,ICCEE - Green Deal,PRAESTA PARTNERS LLP,4026830,"1,425.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Professional Subscriptions,EMI - Energy Strategy & Futures/Electricity Market Reform,IHS GLOBAL LTD T/A IHS JANES,4026832,"8,280.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,CHILDCARE VOUCHERS LTD (EDENRED),4026834,"22,017.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,CHILDCARE VOUCHERS LTD (EDENRED),4026834,550.42 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4026837,"17,169.54 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4026838,"10,505.10 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4026839,"19,959.69 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4026840,787.88 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Publications,Operations - Finance and Procurement,THE STATIONERY OFFICE LTD,4026841,"7,403.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Professional Subscriptions,Corporate Support & Shared Services - Corporate Support & Shared Services,BUSINESS IN THE COMMUNITY,4026843,"3,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Professional Subscriptions,Corporate Support & Shared Services - Corporate Support & Shared Services,BUSINESS IN THE COMMUNITY,4026843,"3,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Contributions (Programme),SEG Including Strategy - Energy Innovation Policy,THE WELLCOME TRUST LTD,4026845,"25,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,IT Software Licences,Corporate Support & Shared Services - Corporate Support & Shared Services,ORACLE CORPORATION UK LTD,4026846,"12,526.70 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4026847,"6,828.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4026848,"1,121.88 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4026849,"7,970.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4026850,939.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4026851,"24,646.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/07/2011 ,Project Management Costs (Programme),Operations - Communications,RIBA 1834 LTD,4026852,"21,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Finance and Procurement,PARITY RESOURCES LTD,4026856,"9,479.18 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Telecommunications,Operations - Finance and Procurement,ACT TELECONFERENCING LTD,4026859,"1,342.36 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,CENTRE FOR SUSTAINABLE ENERGY,4026860,"9,780.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Economic Consultancy & Research,Corporate Support & Shared Services - Corporate Support & Shared Services,SINCLAIR KNIGHT MERZ EUROPE LTD,4026862,"11,995.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4026863,"1,914.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/07/2011 ,Computer Consumables,Operations - Finance and Procurement,XMA LTD,4026864,869.82 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/07/2011 ,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4026866,"88,935.35 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/07/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4026867,"9,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/07/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT UK LTD,4026868,"1,764.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/07/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FAIR ISAAC SERVICES LTD,4026869,"2,835.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/07/2011 ,External Training,Operations - HR,QA LTD,4026879,895.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,BASE CONSULTANTS SA,4026885,"2,706.90 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4026888,"1,077.24 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/07/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4026889,"300,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/07/2011 ,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,CPL DISTRIBUTION LTD T/A CPL FUELS,4026890,"1,781,602.67 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/07/2011 ,Utilities,Operations - Finance and Procurement,GOVERNMENT PROCUREMENT SERVICE (BUYING SOLUTIONS),4026894,"3,815.44 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Professional Subscriptions,Private Office - Private Office,COI COMMUNICATIONS,4026895,"26,400.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4026896,"8,305.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/07/2011 ,Application Support Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FIVIUM LTD,4026904,"1,592.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/07/2011 ,Application Support Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FIVIUM LTD,4026905,"1,592.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/07/2011 ,Sponsorship Support,EMI - Energy Development,THE MARCLIFFE AT PITFODELS,4026906,679.58 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,HAYS SPECIALIST RECRUITMENT LTD,4026907,"1,126.70 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/07/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,NERA UK LTD,4026908,"48,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/07/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4026910,"30,944.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4026911,"19,539.49 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4026912,"17,858.68 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/07/2011 ,Outsourced Technical Support (Programme),SEG Including Strategy - Energy Innovation Policy,OVERSEAS DEVELOPMENT INSTITUTE,4026913,"3,084.39 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4026919,500.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/07/2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,ALLEN LANE LTD,4026921,"2,126.40 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CARILLION ENERGY SERVICES LTD,4026925,"830,876.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/07/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CARILLION ENERGY SERVICES LTD,4026926,"935,689.61 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/07/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CARILLION ENERGY SERVICES LTD,4026927,"929,166.67 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/07/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CARILLION ENERGY SERVICES LTD,4026928,"69,593.37 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Secondees (not paid directly),National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR CULTURE MEDIA AND SPORT,4026932,"14,816.23 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4026936,"21,315.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Economic Consultancy and Research,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4026937,"17,181.62 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Other IT Costs,Operations - Communications,THE SAVILLE GROUP LTD T/A SAVILLE AUDIO VISUAL,4026938,"2,700.96 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Telecommunications,Corporate Support & Shared Services - Corporate Support & Shared Services,ACT TELECONFERENCING LTD,4026939,"3,180.13 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Contributions (Programme),Energy Markets & Infrastructure - Energy Development Unit,ACHILLES INFORMATION LTD T/A FIRST POINT ASSESSMENT,4026941,750.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026942,625.18 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,IRON MOUNTAIN (UK) LTD,4026943,"284,959.07 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4026945,733.54 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MILLS & REEVE,4026948,"27,862.30 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Interpreters,"EMI - International, EU & Energy Security",LONDON TRANSLATIONS LTD,4026951,875.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Other UK Travel & Subsistence,"EMI - International, EU & Energy Security",LONDON TRANSLATIONS LTD,4026951,500.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Hire of Conference Facilities,EMI - Energy Strategy & Futures/Electricity Market Reform,THE ROYAL HORSEGUARDS HOTEL LTD,4026952,"3,417.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Research & Development Expenditure (Programme),EMI - ORED,HAYES MCKENZIE PARTNERSHIP LTD,4026953,700.77 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Energy Strategy and Futures,BRIGHT FUTURES (NZ) LTD,4026954,"16,320.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,EXPERIAN LTD,4026955,"10,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,VALUATION OFFICE AGENCY,4026956,"11,200.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4026957,"2,942.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Advertising,Energy Markets & Infrastructure - Energy Strategy and Futures,COI COMMUNICATIONS,4026958,"10,597.89 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4026959,"3,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/07/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4026962,"46,910.49 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Secondees (not paid directly),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE LONDON DEVELOPMENT AGENCY LTD,4026963,"8,844.01 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Secondees (not paid directly),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE LONDON DEVELOPMENT AGENCY LTD,4026963,"7,370.01 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026965,"10,630.31 "
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Other Centrally -Funded IT Maintenance and Support,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026971,725.55 
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,OFFICE ANGELS LTD,4026973,616.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026974,616.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026976,569.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,26/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026977,"4,912.29 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026984,"3,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/07/2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,MET OFFICE,4026985,"50,000.00 "
