,,,,,,,Annex B
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ASPIRE EUROPE LTD,4026400,"1,200.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/07/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,NATURAL ENVIRONMENT RESEARCH COUNCIL (BGS BRITISH GEOLOGICAL SURVEY),4026401,"58,707.94 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/07/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4026402,825.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Economic Consultancy & Research,EMI - Energy Strategy & Futures/Electricity Market Reform,CAMBRIDGE ECONOMIC POLICY ASSOCIATES LTD,4026403,"100,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Technical Advice / Services & Support,Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW PARTNERS LLP,4026405,"1,155.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4026407,"200,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026410,644.92 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026411,"165,059.86 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,MARITIME AND COASTGUARD AGENCY MCA,4026413,"32,682.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Mobile Phones,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026417,"3,438.97 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Mobile Phones,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026417,"3,438.97 "
