Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Finance and Procurement,BROOK STREET (UK) LTD,4028000,664.24 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4028001,773.22 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Nuclear Decommissioning & Security,BROOK STREET (UK) LTD,4028159,859.50 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4028161,625.26 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4028308,778.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Finance and Procurement,BROOK STREET (UK) LTD,4028309,696.31 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Nuclear Decommissioning & Security,BROOK STREET (UK) LTD,4028310,"1,054.32 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Sep-2011 ,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4028318,515.84 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Sep-2011 ,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4028320,627.98 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Hire of Agency Staff (Professional/Management),Private Office - Private Office,BROOK STREET (UK) LTD,4028435,605.06 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4028457,605.56 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Nuclear Decommissioning & Security,BROOK STREET (UK) LTD,4028459,682.56 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Nuclear Decommissioning & Security,BROOK STREET (UK) LTD,4028461,836.58 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4028462,692.08 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"EMI - International, EU & Energy Security",BROOK STREET (UK) LTD,4028464,534.58 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,BROOK STREET (UK) LTD,4028661,825.72 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Finance and Procurement,BROOK STREET (UK) LTD,4028666,558.88 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Nuclear Decommissioning & Security,BROOK STREET (UK) LTD,4028668,985.56 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Project Management Costs (Programme),ICCEE - Heat & Industry,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4028016,"10,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4028064,"5,290.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4028106,"2,647.32 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Outsourced Programme Management Services,ICCEE - Heat & Industry,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4028180,"61,643.21 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Legal Costs (Programme),Operations - Nuclear Decommissioning & Security,CABINET OFFICE,4028460,"1,400.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Purchase of  Advertising and Publicity (Programme),Operations - Communications,CAG CONSULTANTS,4027977,"1,300.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,CAMBRIDGE ECONOMIC POLICY ASSOCIATES LTD,4028490,"20,400.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Cash Expenditure during the Year - Other Coal Non-Health Provisions,EMI - Energy Development,CAPITA BUSINESS SERVICES LTD,4028289,"118,311.33 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Cash Expenditure during the Year - Other Coal Non-Health Provisions,EMI - Energy Development,CAPITA BUSINESS SERVICES LTD,4028290,"118,804.88 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Sep-2011 ,Recruitment Consultancy Costs,ICCEE - Green Deal,CAPITA RESOURCING LTD,4028178,"7,275.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - HR,CAPITA RESOURCING LTD,4028179,"4,446.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),ICCEE - Green Deal,CAPITA RESOURCING LTD,4028364,"11,640.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Consultancy Advice Provided From Third Parties,EMI - OCCS,CAPITA SYMONDS LTD,4027434,"24,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Capital Grants to Private Sector - Not Own Asset Creation,ICCEE - Fuel Poverty & Smart Meters,CARILLION ENERGY SERVICES LTD,4027896,"8,040,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Capital Grants to Private Sector - Own Asset Creation,ICCEE - Fuel Poverty & Smart Meters,CARILLION ENERGY SERVICES LTD,4028638,"929,166.67 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Capital Grants - Other,ICCEE - Fuel Poverty & Smart Meters,CARILLION ENERGY SERVICES LTD,4028639,"1,100,541.99 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Capital Grants - Other,ICCEE - Fuel Poverty & Smart Meters,CARILLION ENERGY SERVICES LTD,4028640,"431,895.08 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Capital Grants to Private Sector - Not Own Asset Creation,ICCEE - Fuel Poverty & Smart Meters,CARILLION ENERGY SERVICES LTD,4028641,"10,040,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Mobile Phones,ICCEE - International Climate Change,CELLHIRE plc,4028089,704.96 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Mobile Phones,ICCEE - International Climate Change,CELLHIRE plc,4028090,579.26 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Outsourced Programme Management Services,ICCEE - Heat & Industry,CENTRAL HALL WESTMINSTER LTD,4028689,"1,200.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Sep-2011 ,Other IT Consultancy,Operations - Nuclear Decommissioning & Security,CESG,4028327,"6,521.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Telecommunications (Programme),ICCEE - Fuel Poverty & Smart Meters,CESG,4028338,"8,532.24 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Child Care,Operations - HR,CHILDCARE VOUCHERS LTD (EDENRED),4028494,549.58 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Outsourced Programme Management Services,EMI - Energy Development,CHRIS BANKS T/A BANKS SOLUTIONS,4028556,"1,760.15 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Grant in Aid - Current -Other,EMI - Energy Development,COAL AUTHORITY,4028008,"1,750,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Advertising,Operations - HR,COI COMMUNICATIONS,4028164,"6,306.67 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Outsourced Technical Support (Programme),Operations - Communications,COI COMMUNICATIONS,4028344,"1,881.96 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,IT Maintenance and Management Services,EMI - Energy Development,COLLABRO,4028067,"18,850.70 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,IT Maintenance and Management Services,EMI - Energy Development,COLLABRO,4028071,"2,130.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,External Training,Operations - HR,COMPLETE LEADERSHIP LTD,4028601,"1,215.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Capital Grants - Other,EMI - ORED,CONVERTEAM TECHNOLOGY LTD,4028083,"353,478.17 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,External Training,EMI - Energy Strategy & Futures/Electricity Market Reform,CORNWALL ENERGY ASSOCIATES LTD,4028692,800.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Sep-2011 ,Cash Expenditure during the Year - Concessionary Fuel,EMI - Energy Development,CPL DISTRIBUTION LTD T/A CPL FUELS,4028356,"1,054,324.24 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4027979,"5,812.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4027980,"9,700.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4028125,"4,497.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4028126,"2,484.55 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Sep-2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4028127,"2,008.90 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,CROWN AGENTS,4028130,"11,023.20 ",,,
