Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Technical Support,Operations - Nuclear Decommissioning & Security,NATIONAL NUCLEAR LABORATORY LTD,4028158,"396,260.10 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Technical Support,Operations - Nuclear Decommissioning & Security,NATIONAL NUCLEAR LABORATORY LTD,4028250,"36,230.17 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,External Training,EMI - Energy Development,NATIONAL SCHOOL OF GOVERNMENT,1035683,500.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Internal Training,Operations - HR,NATIONAL SCHOOL OF GOVERNMENT,4028132,500.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Sep-2011 ,External Training,Operations - Finance and Procurement,NATIONAL SCHOOL OF GOVERNMENT,4028226,"1,775.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Outsourced Programme Management Services,EMI - Energy Development,NATURAL ENVIRONMENT RESEARCH COUNCIL (BGS BRITISH GEOLOGICAL SURVEY),4028078,"63,302.51 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Outsourced Programme Management Services,EMI - Energy Development,NATURAL ENVIRONMENT RESEARCH COUNCIL (BGS BRITISH GEOLOGICAL SURVEY),4028553,"53,748.71 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Technical Advice,EMI - ORED,NERA UK LTD,4028395,"25,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,NERA UK LTD,4028561,"9,183.25 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Research & Development Expenditure (Programme),Operations - Economics,NERA UK LTD,4028569,"4,219.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4027921,"2,508.84 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Economic Consultancy and Research,ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4027925,"9,408.15 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4027972,"1,254.42 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4028053,"4,202.04 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4028054,"21,115.25 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Economic Consultancy and Research,ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4028245,"4,181.40 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4028314,"9,454.59 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Sep-2011 ,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4028352,"3,763.26 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4028353,"8,666.71 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4028520,"3,763.26 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Economic Consultancy and Research,ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4028521,"9,408.15 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4028523,"5,042.45 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,NETWORKERS RECRUITMENT SERVICES LTD T/A NETWORKERS INTERNATIONAL PLC,4028525,"2,101.02 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Cash Expenditure During the Year - British Energy,Operations - Finance and Procurement,NUCLEAR DECOMMISSIONING AUTHORITY,4027179,"1,816,150.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Cash Expenditure During the Year - British Energy,Operations - Finance and Procurement,NUCLEAR DECOMMISSIONING AUTHORITY,4027180,"1,554,764.57 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Grant in Aid - Current -Other,Operations - Nuclear Decommissioning & Security,NUCLEAR DECOMMISSIONING AUTHORITY,4027742,"140,000,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,NUVIA LTD,4028119,"47,519.04 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,NUVIA LTD,4028134,"11,776.78 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,NUVIA LTD,4028136,"6,301.63 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,NUVIA LTD,4028614,"1,652.46 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,NUVIA LTD,4028615,"85,390.92 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,NUVIA LTD,4028616,"17,196.45 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,NUVIA LTD,4028622,"26,346.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,NUVIA LTD,4028624,"10,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,NUVIA LTD,4028627,"7,999.90 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028018,571.70 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028020,616.96 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,OFFICE ANGELS LTD,4028021,616.96 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028022,592.27 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),SEG Including Strategy - Energy Innovation Policy,OFFICE ANGELS LTD,4028023,682.27 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Performance and Planning,OFFICE ANGELS LTD,4028024,550.15 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028025,649.86 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,OFFICE ANGELS LTD,4028092,608.72 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Performance and Planning,OFFICE ANGELS LTD,4028093,713.16 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028095,584.05 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028097,592.27 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028099,633.41 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028351,645.74 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028377,"3,870.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,OFFICE ANGELS LTD,4028455,616.96 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Performance and Planning,OFFICE ANGELS LTD,4028463,855.79 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OCCS,OFFICE ANGELS LTD,4028465,510.01 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028469,592.27 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),SEG Including Strategy - Energy Innovation Policy,OFFICE ANGELS LTD,4028470,550.15 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028476,600.50 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Performance and Planning,OFFICE ANGELS LTD,4028558,815.04 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028562,633.41 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028563,584.05 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),SEG Including Strategy - Energy Innovation Policy,OFFICE ANGELS LTD,4028571,652.03 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OND,OFFICE ANGELS LTD,4028572,616.96 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Communications,OFFICE ANGELS LTD,4028574,592.27 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Stationery,Operations - Finance and Procurement,OFFICE DEPOT UK LTD,4028184,"2,216.16 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Economic Consultancy and Research,Operations - Economics,OFFICE FOR NATIONAL STATISTICS,4028124,"8,490.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Economic Consultancy and Research,Operations - Economics,OFFICE FOR NATIONAL STATISTICS,4028137,"11,810.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Other Media Costs,SEG Including Strategy - Strategy Inc Committee on Climate Change,OFFICE FOR PUBLIC MANAGEMENT,4028009,"4,406.91 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Sep-2011 ,Outsourced Programme Management Services,EMI - ORED,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4028247,"434,975.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Sep-2011 ,Outsourced Programme Management Services,EMI - ORED,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4028249,"403,170.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Outsourced Programme Management Services,EMI - ORED,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4028251,"102,630.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Outsourced Programme Management Services,EMI - ORED,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4028252,"127,087.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Sep-2011 ,Other Miscellaneous Expenditure,ICCEE - Green Deal,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4028343,"22,695.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Sep-2011 ,Outsourced Programme Management Services,EMI - ORED,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4028363,"366,643.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,External Training,Operations - HR,OSBS PROGRAMMES LTD,4027976,"11,445.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,PA CONSULTING GROUP LTD,4028508,"15,120.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,PA CONSULTING GROUP LTD,4028509,"18,240.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,IT Maintenance and Management Services,EMI - Energy Development,PARITY RESOURCES LTD,4027987,"52,975.51 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Application Support Service,EMI - Energy Development,PARITY RESOURCES LTD,4027989,"18,835.20 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Outsourced Programme Management Services,EMI - Energy Development,PARITY RESOURCES LTD,4027995,"28,429.20 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,PARITY RESOURCES LTD,4028088,"15,600.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,PARITY RESOURCES LTD,4028120,"8,051.68 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,PARITY RESOURCES LTD,4028121,"3,450.72 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Sep-2011 ,Hire of Office Equipment,Operations - Finance and Procurement,PITNEY BOWES FINANCE LTD,4028185,"2,321.02 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Furniture,Operations - Finance and Procurement,POSTURITE UK LTD,4028242,"1,429.20 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Furniture,Operations - Finance and Procurement,POSTURITE UK LTD,4028691,778.80 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Economic Consultancy & Research,EMI - Energy Strategy & Futures/Electricity Market Reform,POYRY MANAGEMENT CONSULTING (UK) LTD,4028005,"40,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Media Services,Operations - Communications,PRECISE MEDIA MONITORING LTD,4028145,"3,159.63 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Cash Expenditure during the Year - Other Health Related Provisions,EMI - Energy Development,PRICEWATERHOUSECOOPERS LLP,4028274,"2,233.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Cash Expenditure during the Year - Other Health Related Provisions,EMI - Energy Development,PRICEWATERHOUSECOOPERS LLP,4028276,"7,186.20 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,External Training,Operations - HR,PRIORITY MANAGEMENT LONDON LTD,4028554,"2,475.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,External Training,Operations - HR,PRIORITY MANAGEMENT LONDON LTD,4028709,"5,200.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Outsourced Programme Management Services,EMI - Energy Development,PROGRAMME OFFICER SERVICES LTD,4028423,"6,610.08 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Outsourced Programme Management Services,EMI - Energy Development,PROGRAMME OFFICER SERVICES LTD,4028500,"3,659.64 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,External Training,Operations - HR,QA LTD,1035819,802.50 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,External Training,Operations - HR,QA LTD,4028094,"8,900.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,External Training,Operations - HR,QA LTD,4028610,"4,530.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Research & Development Expenditure (Programme),Operations - Economics,REDPOINT ENERGY LTD,4028150,"33,848.70 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Hire of Agency Staff (Professional/Management),Private Office - Private Office,REED EMPLOYMENT LTD,4028452,515.30 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Hire of Agency Staff (Professional/Management),Private Office - Private Office,REED EMPLOYMENT LTD,4028453,545.62 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Hire of Agency Staff (Professional/Management),Private Office - Private Office,Reed Personnel Services Ltd,4028006,545.62 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Sep-2011 ,Outsourced Programme Management Services,EMI - Energy Development,ROCKFIELD SOFTWARE LTD,4028194,"12,917.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Sep-2011 ,Recruitment Consultancy Costs,Operations - Nuclear Decommissioning & Security,SAXTON BAMPFYLDE HEVER LTD,4028342,"5,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,SCIENCE AND TECHNOLOGY CENTER IN UKRAINE,4028374,"49,633.10 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,SCIENCE AND TECHNOLOGY CENTER IN UKRAINE,4028441,"10,340.69 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Electricity,Operations - Finance and Procurement,SCOTTISH HYDRO ELECTRIC POWER DISTRIBUTION PLC,4028409,"12,476.95 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Chemical Weapons Convention Inspection Costs,Operations - Nuclear Decommissioning & Security,SELWYNS TRAVEL LTD,4028084,"1,925.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Hotels (Programme),Operations - Nuclear Decommissioning & Security,SELWYNS TRAVEL LTD,4028577,"5,708.44 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Furniture,Operations - Finance and Procurement,SENATOR INTERNATIONAL LTD,4028394,"1,177.21 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Furniture,Operations - Finance and Procurement,SENATOR INTERNATIONAL LTD,4028618,"4,755.46 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Furniture,Operations - Finance and Procurement,SENATOR INTERNATIONAL LTD,4028619,"11,513.38 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Sep-2011 ,Outsourced Programme Management Services,EMI - Energy Development,SENERGY (GB) LTD,4028331,"1,255.76 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Technical Support,SEG Including Strategy - Energy Innovation Policy,SINCLAIR KNIGHT MERZ EUROPE LTD,4028262,"16,742.26 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,SINCLAIR KNIGHT MERZ EUROPE LTD,4028407,"3,350.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Sep-2011 ,External Legal Advice and Services,ICCEE - Green Deal,SNR DENTON UK LLP,4028325,"22,455.76 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Sep-2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,SPACE CONNEXIONS LTD,4028237,"108,155.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Sep-2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,SPACE CONNEXIONS LTD,4028238,"87,531.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Outsourced Programme Management Services,EMI - Energy Development,STEELHENGE CONSULTING LTD,4028030,"1,500.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,TFPL LTD,4028588,"2,400.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Water,Operations - Finance and Procurement,THAMES WATER UTILITIES LTD,4028530,932.53 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Grants - Current - Other,ICCEE - Green Deal,THE CARBON TRUST,4027988,"4,180,326.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Capital Grants to Private Sector - Own Asset Creation,ICCEE - Green Deal,THE CARBON TRUST,4028482,"838,461.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Grants - Current - Other,ICCEE - Green Deal,THE CARBON TRUST,4028703,"2,537,561.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Admin Grant to Energy Saving Trust,ICCEE - Green Deal,THE ENERGY SAVING TRUST LTD,4027865,"188,868.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Project Management Costs (Programme),ICCEE - Heat & Industry,THE ENERGY SAVING TRUST LTD,4027975,"55,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Sep-2011 ,Capital Grants - Other,EMI - ORED,THE ENERGY SAVING TRUST LTD,4027986,"150,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,Admin Grant to Energy Saving Trust,ICCEE - Green Deal,THE ENERGY SAVING TRUST LTD,4028620,"188,868.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Sep-2011 ,Secondees (not paid directly),ICCEE - Heat & Industry,THE LONDON DEVELOPMENT AGENCY LTD,4028348,"6,721.53 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,External Training,Operations - HR,THE MANAGEMENT CENTRE UK LTD,4028294,"1,530.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Outsourced Programme Management Services,EMI - Energy Development,THE PLANNING INSPECTORATE,4027873,"17,049.12 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Payments to Treasury Solicitors and Treasury Counsel,Operations - Legal,THE TREASURY SOLICITORS DEPARTMENT,4028478,"10,003.67 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,External Training,Operations - HR,THE WHITEHALL AND INDUSTRY GROUP,4028073,"1,500.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,External Training,Operations - HR,THE WHITEHALL AND INDUSTRY GROUP,4028417,595.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,External Training,Operations - HR,THE WHITEHALL AND INDUSTRY GROUP,4028647,"4,850.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,IT Software Licences,"EMI - International, EU & Energy Security",TIMBERLAKE CONSULTANTS LTD,4028451,"1,948.20 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Public Relations & Marketing Advice & Services,Operations - Communications,UK GREEN BUILDING COUNCIL,4028260,"4,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Sep-2011 ,Public Relations & Marketing Advice & Services,Operations - Communications,UK GREEN BUILDING COUNCIL,4028267,"1,900.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Technical Advice / Services & Support,ICCEE - Green Deal,UNITED KINGDOM ACCREDITATION SERVICE (UKAS),4028367,"10,615.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,UNIVERSITY OF BRISTOL,4028434,"136,219.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Secondees (not paid directly),SEG Including Strategy - CSA - Private Office & Director,UNIVERSITY OF CAMBRIDGE,4028144,"11,921.25 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,External Training,EMI - Energy Development,UNIVERSITY OF LEOBEN,4028355,"1,381.07 ",,,
